	MP-ID	Comp Flatness score	Flat/not-flat	Flat segments
27863	mp-675230	0.61312747	False	[]
27864	mp-675231	0.962828	True	[3, 4]
27865	mp-675232	0.7341019	False	[]
27866	mp-675242	0.82261294	False	[]
27867	mp-675245	0.90208894	True	[3, 4]
27868	mp-675250	0.83810055	False	[]
27869	mp-675266	0.74348336	False	[]
27870	mp-675271	0.7484669	True	[2]
27871	mp-675275	0.9884421	True	[3, 4]
27872	mp-675283	0.8794355	True	[4]
27873	mp-675284	0.7766971	False	[]
27874	mp-675286	0.5699683	False	[]
27875	mp-675290	0.7471524	False	[]
27876	mp-675295	0.6588699	False	[]
27877	mp-675296	0.8105306	True	[1]
27878	mp-675298	0.8849932	True	[3]
27879	mp-675300	0.7497286	False	[]
27880	mp-675301	0.67371047	True	[4]
27881	mp-675309	0.89381707	True	[3, 4]
27882	mp-675324	0.6004367	False	[]
27883	mp-675325	0.67950374	False	[]
27884	mp-675326	0.66828954	True	[2]
27885	mp-675328	0.99022275	True	[1, 2]
27886	mp-675329	0.982443	True	[3, 4]
27887	mp-675332	0.9891413	True	[2, 3, 4]
27888	mp-675334	0.1693049	False	[]
27889	mp-675336	0.9511821	True	[1, 2, 3]
27890	mp-675342	0.77601945	True	[3]
27891	mp-675345	0.98488045	True	[3, 4]
27892	mp-675349	0.0596046	False	[]
27893	mp-675353	0.89001745	True	[1, 4]
27894	mp-675354	0.91485935	True	[3]
27895	mp-675363	0.9487182	True	[2, 3, 4]
27896	mp-675369	0.7479771	False	[]
27897	mp-675372	0.916643	True	[4]
27898	mp-675374	0.70982784	False	[]
27899	mp-675379	0.61807543	False	[]
27900	mp-675380	0.8992737	True	[1, 2, 3]
27901	mp-675383	0.9322637	True	[2, 3, 4]
27902	mp-675402	0.37937912	False	[]
27903	mp-675410	0.9804552	True	[1, 2, 3]
27904	mp-675416	0.9869991	True	[3, 4]
27905	mp-675418	0.78056294	True	[3]
27906	mp-675420	0.9133959	True	[3, 4]
27907	mp-675423	0.5615668	False	[]
27908	mp-675424	0.8961423	True	[4]
27909	mp-675426	0.7834053	True	[3, 4]
27910	mp-675430	0.9263513	True	[3, 4]
27911	mp-675435	0.9656469	True	[3, 4]
27912	mp-675436	0.8227215	True	[4]
27913	mp-675446	0.9444784	True	[3]
27914	mp-675449	0.98912007	True	[1, 2, 3, 4]
27915	mp-675450	0.7064145	True	[3]
27916	mp-675458	0.68973297	False	[]
27917	mp-675460	0.4957853	False	[]
27918	mp-675462	0.8780708	True	[4]
27919	mp-675464	0.69168913	False	[]
27920	mp-675469	0.9675099	True	[3, 4]
27921	mp-675470	0.92864466	True	[3, 4]
27922	mp-675472	0.84001607	True	[3, 4]
27923	mp-675477	0.44114083	False	[]
27924	mp-675479	0.965304	True	[1, 3]
27925	mp-675488	0.8580528	True	[3]
27926	mp-675489	0.6654536	False	[]
27927	mp-675492	0.9795913	True	[3, 4]
27928	mp-675496	0.9439332	True	[3, 4]
27929	mp-675499	0.86630577	True	[3, 4]
27930	mp-675504	0.90476274	True	[1, 2]
27931	mp-675506	0.69112176	True	[4]
27932	mp-675509	0.9796192	True	[2, 3, 4]
27933	mp-675511	0.6027695	False	[]
27934	mp-675514	0.99023527	True	[1, 2, 3]
27935	mp-675524	0.09507634	False	[]
27936	mp-675525	0.40728796	False	[]
27937	mp-675526	0.97154707	True	[1, 2, 3, 4]
27938	mp-675531	0.587911	False	[]
27939	mp-675532	0.9636039	True	[1, 2]
27940	mp-675539	0.91450304	True	[3, 4]
27941	mp-675541	0.9662552	True	[3, 4]
27942	mp-675543	0.31686237	False	[]
27943	mp-675545	0.48860013	False	[]
27944	mp-675546	0.7692618	False	[]
27945	mp-675554	0.74609095	False	[]
27946	mp-675555	0.9663654	True	[3, 4]
27947	mp-675562	0.9737726	True	[3, 4]
27948	mp-675563	0.95279473	True	[3, 4]
27949	mp-675569	0.8431619	True	[3]
27950	mp-675570	0.96474934	True	[1, 2, 3, 4]
27951	mp-675577	0.5321589	False	[]
27952	mp-675580	0.094573155	False	[]
27953	mp-675581	0.42537186	False	[]
27954	mp-675585	0.9346604	True	[1, 2]
27955	mp-675590	0.3281396	False	[]
27956	mp-675592	0.8239742	True	[1]
27957	mp-675593	0.96776336	True	[1, 2, 3, 4]
27958	mp-675597	0.72237015	False	[]
27959	mp-675600	0.9663253	True	[1, 2, 3, 4]
27960	mp-675601	0.74021673	False	[]
27961	mp-675606	0.5611126	False	[]
27962	mp-675608	0.8082375	True	[3]
27963	mp-675614	0.9645112	True	[3, 4]
27964	mp-675620	0.68910074	False	[]
27965	mp-675621	0.46783933	False	[]
27966	mp-675623	0.7640149	False	[]
27967	mp-675626	0.41162738	False	[]
27968	mp-675633	0.21446139	False	[]
27969	mp-675634	0.882549	True	[4]
27970	mp-675638	0.7508502	True	[4]
27971	mp-675640	0.25563124	False	[]
27972	mp-675643	0.99072295	True	[1, 2, 3]
27973	mp-675645	0.4941875	False	[]
27974	mp-675651	0.6493244	False	[]
27975	mp-675654	0.5128437	False	[]
27976	mp-675671	0.83572835	True	[1, 2, 4]
27977	mp-675672	0.98122513	True	[3, 4]
27978	mp-675678	0.8923528	True	[3, 4]
27979	mp-675679	0.97237515	True	[1, 2, 3]
27980	mp-675680	0.9142804	True	[3, 4]
27981	mp-675681	0.9668357	True	[3, 4]
27982	mp-675682	0.62368757	False	[]
27983	mp-675690	0.5585552	False	[]
27984	mp-675691	0.6411511	False	[]
27985	mp-675700	0.5261682	False	[]
27986	mp-675701	0.36388323	False	[]
27987	mp-675710	0.7061718	False	[]
27988	mp-675711	0.94154304	True	[2, 3, 4]
27989	mp-675716	0.972858	True	[3, 4]
27990	mp-675724	0.8097709	True	[3, 4]
27991	mp-675733	0.65287316	False	[]
27992	mp-675734	0.75962484	False	[]
27993	mp-675739	0.98927814	True	[1, 2, 3]
27994	mp-675741	0.9832608	True	[1, 2, 3]
27995	mp-675742	0.698739	True	[4]
27996	mp-675743	0.95338136	True	[3, 4]
27997	mp-675745	0.84988624	True	[3, 4]
27998	mp-675747	0.8638271	True	[2, 3, 4]
27999	mp-675748	0.48608354	False	[]
28000	mp-675751	0.92084783	True	[3, 4]
28001	mp-675755	0.55784357	False	[]
28002	mp-675756	0.65070516	False	[]
28003	mp-675757	0.75425637	True	[3, 4]
28004	mp-675758	0.9315961	True	[4]
28005	mp-675760	0.8908752	True	[1, 2, 3, 4]
28006	mp-675766	0.91013384	True	[4]
28007	mp-675768	0.98048276	True	[3, 4]
28008	mp-675769	0.9074414	True	[2, 4]
28009	mp-675771	0.7423814	False	[]
28010	mp-675778	0.91236794	True	[3, 4]
28011	mp-675779	0.72526425	True	[4]
28012	mp-675780	0.9067069	True	[2, 3, 4]
28013	mp-675781	0.86994916	True	[3, 4]
28014	mp-675784	0.26089272	False	[]
28015	mp-675786	0.9401393	True	[3, 4]
28016	mp-675792	0.66324335	False	[]
28017	mp-675798	0.7752529	False	[]
28018	mp-675802	0.97654086	True	[3, 4]
28019	mp-675821	0.89924014	True	[3, 4]
28020	mp-675830	0.7264691	False	[]
28021	mp-675831	0.6249691	True	[3]
28022	mp-675834	0.6355109	False	[]
28023	mp-675846	0.9001807	True	[3, 4]
28024	mp-675857	0.67385906	False	[]
28025	mp-675871	0.30548665	False	[]
