,MP-ID,Comp Flatness score,Flat/not-flat,Flat segments
36454,mp-760805,0.7988663,TRUE,[4]
36455,mp-760808,0.9768925,TRUE,"[3, 4]"
36456,mp-760811,0.97142655,TRUE,"[1, 3, 4]"
36457,mp-760812,0.982162,TRUE,"[1, 3, 4]"
36458,mp-760814,0.95372266,TRUE,"[2, 3, 4]"
36459,mp-760815,0.94825274,TRUE,"[1, 3, 4]"
36460,mp-760817,0.98661995,TRUE,"[3, 4]"
36461,mp-760819,0.9636331,TRUE,"[2, 3, 4]"
36462,mp-760822,0.8391579,TRUE,[3]
36463,mp-760823,0.96830803,TRUE,"[3, 4]"
36464,mp-760825,0.9640492,TRUE,"[3, 4]"
36465,mp-760827,0.9869233,TRUE,"[3, 4]"
36466,mp-760829,0.84664655,TRUE,[4]
36467,mp-760830,0.91102815,TRUE,[4]
36468,mp-760831,0.9564998,TRUE,"[1, 3, 4]"
36469,mp-760833,0.9880295,TRUE,"[1, 2, 4]"
36470,mp-760837,0.98699325,TRUE,"[1, 2, 3]"
36471,mp-760841,0.9895634,TRUE,"[1, 2]"
36472,mp-760848,0.86004156,TRUE,"[1, 2, 4]"
36473,mp-760859,0.5306573,FALSE,[]
36474,mp-760863,0.95863587,TRUE,"[3, 4]"
36475,mp-760866,0.9465391,TRUE,"[1, 2]"
36476,mp-760869,0.8809077,TRUE,"[1, 3, 4]"
36477,mp-760888,0.93766767,TRUE,[4]
36478,mp-760891,0.95996904,TRUE,"[3, 4]"
36479,mp-760896,0.8855718,TRUE,"[1, 3, 4]"
36480,mp-760908,0.6771929,FALSE,[]
36481,mp-760911,0.8066275,FALSE,[]
36482,mp-760912,0.83666617,TRUE,[3]
36483,mp-760913,0.84678555,TRUE,[4]
36484,mp-760914,0.88537973,TRUE,"[3, 4]"
36485,mp-760919,0.7694745,TRUE,[3]
36486,mp-760920,0.83590156,TRUE,[3]
36487,mp-760921,0.9708529,TRUE,[4]
36488,mp-760923,0.9560928,TRUE,[4]
36489,mp-760927,0.86439437,TRUE,[4]
36490,mp-760928,0.78841543,TRUE,[4]
36491,mp-760931,0.9324557,TRUE,"[1, 4]"
36492,mp-760932,0.97024274,TRUE,"[1, 3, 4]"
36493,mp-760933,0.7356054,TRUE,[4]
36494,mp-760934,0.9697609,TRUE,"[1, 3, 4]"
36495,mp-760935,0.6890924,FALSE,[]
36496,mp-760936,0.94866544,TRUE,"[1, 2, 4]"
36497,mp-760938,0.7671086,FALSE,[]
36498,mp-760939,0.95912427,TRUE,"[3, 4]"
36499,mp-760940,0.6047348,FALSE,[]
36500,mp-760941,0.9711132,TRUE,"[2, 3, 4]"
36501,mp-760942,0.9570363,TRUE,[3]
36502,mp-760946,0.9812673,TRUE,"[1, 3, 4]"
36503,mp-760948,0.9368414,TRUE,"[1, 2]"
36504,mp-760952,0.8098961,TRUE,"[1, 3, 4]"
36505,mp-760954,0.95859665,TRUE,"[1, 3, 4]"
36506,mp-760956,0.78488755,TRUE,"[2, 4]"
36507,mp-760966,0.83978647,TRUE,[4]
36508,mp-760972,0.7762864,TRUE,[4]
36509,mp-760977,0.75589883,TRUE,[1]
36510,mp-760980,0.5448612,FALSE,[]
36511,mp-760991,0.71924543,FALSE,[]
36512,mp-760994,0.9377256,TRUE,"[3, 4]"
36513,mp-760996,0.6340284,FALSE,[]
36514,mp-760997,0.98572385,TRUE,"[1, 3, 4]"
36515,mp-760998,0.9024762,TRUE,[4]
36516,mp-761004,0.9512999,TRUE,"[3, 4]"
36517,mp-761011,0.9853904,TRUE,"[3, 4]"
36518,mp-761016,0.97734696,TRUE,"[3, 4]"
36519,mp-761019,0.5924994,FALSE,[]
36520,mp-761021,0.87681,TRUE,"[3, 4]"
36521,mp-761024,0.784074,TRUE,"[3, 4]"
36522,mp-761026,0.8918497,TRUE,"[3, 4]"
36523,mp-761027,0.9672131,TRUE,"[1, 2]"
36524,mp-761028,0.9630483,TRUE,[1]
36525,mp-761029,0.988119,TRUE,"[3, 4]"
36526,mp-761030,0.8115234,TRUE,[3]
36527,mp-761032,0.12393334,FALSE,[]
36528,mp-761034,0.13083541,FALSE,[]
36529,mp-761035,0.6214493,FALSE,[]
36530,mp-761036,0.72518164,FALSE,[]
36531,mp-761038,0.98800176,TRUE,"[3, 4]"
36532,mp-761039,0.9891104,TRUE,"[3, 4]"
36533,mp-761042,0.97559756,TRUE,"[1, 3, 4]"
36534,mp-761044,0.9722062,TRUE,"[1, 3, 4]"
36535,mp-761045,0.93292046,TRUE,[4]
36536,mp-761046,0.97108716,TRUE,"[1, 2, 3]"
36537,mp-761051,0.9234448,TRUE,"[3, 4]"
36538,mp-761052,0.9794312,TRUE,"[3, 4]"
36539,mp-761056,0.9150506,TRUE,[3]
36540,mp-761057,0.9668056,TRUE,"[3, 4]"
36541,mp-761062,0.90863323,TRUE,"[3, 4]"
36542,mp-761063,0.93789494,TRUE,"[3, 4]"
36543,mp-761066,0.67736167,FALSE,[]
36544,mp-761067,0.9045219,TRUE,[3]
36545,mp-761073,0.98950833,TRUE,"[3, 4]"
36546,mp-761074,0.98482585,TRUE,"[3, 4]"
36547,mp-761075,0.9909697,TRUE,"[3, 4]"
36548,mp-761076,0.9877281,TRUE,[3]
36549,mp-761078,0.98928523,TRUE,[1]
36550,mp-761080,0.98529905,TRUE,"[3, 4]"
36551,mp-761081,0.9876905,TRUE,"[3, 4]"
36552,mp-761082,0.95296264,TRUE,"[3, 4]"
36553,mp-761087,0.9034702,TRUE,[1]
36554,mp-761090,0.9897833,TRUE,"[3, 4]"
36555,mp-761098,0.8879031,TRUE,"[3, 4]"
36556,mp-761099,0.87428063,TRUE,[3]
36557,mp-761101,0.9023363,TRUE,"[3, 4]"
36558,mp-761106,0.813992,FALSE,[]
36559,mp-761107,0.9595111,TRUE,"[3, 4]"
36560,mp-761112,0.81469196,TRUE,"[3, 4]"
36561,mp-761113,0.9822231,TRUE,"[3, 4]"
36562,mp-761115,0.60379887,FALSE,[]
36563,mp-761118,0.75290406,FALSE,[]
36564,mp-761120,0.92302734,TRUE,"[3, 4]"
36565,mp-761121,0.9070282,TRUE,"[3, 4]"
36566,mp-761124,0.9486692,TRUE,[4]
36567,mp-761125,0.87953126,TRUE,[3]
36568,mp-761126,0.9870533,TRUE,"[1, 2, 3, 4]"
36569,mp-761128,0.26082593,FALSE,[]
36570,mp-761129,0.73309004,TRUE,[3]
36571,mp-761134,0.8693644,TRUE,[4]
36572,mp-761135,0.8063838,TRUE,[3]
36573,mp-761137,0.8143545,TRUE,"[3, 4]"
36574,mp-761138,0.8571994,TRUE,"[3, 4]"
36575,mp-761140,0.91036916,TRUE,[4]
36576,mp-761142,0.9311353,TRUE,"[1, 3, 4]"
36577,mp-761143,0.7656041,TRUE,"[2, 3, 4]"
36578,mp-761144,0.31348422,FALSE,[]
36579,mp-761146,0.62017614,FALSE,[]
36580,mp-761147,0.932816,TRUE,"[3, 4]"
36581,mp-761148,0.7846932,FALSE,[]
36582,mp-761149,0.9907605,TRUE,"[3, 4]"
36583,mp-761150,0.9802758,TRUE,[3]
36584,mp-761151,0.281486,FALSE,[]
36585,mp-761153,0.9876673,TRUE,"[1, 2, 3]"
36586,mp-761155,0.9134715,TRUE,"[1, 3, 4]"
36587,mp-761158,0.97045857,TRUE,"[3, 4]"
36588,mp-761161,0.7456371,TRUE,[3]
