mat_id,drop_values
mp-943,"[0.1778237765167098, -0.0618050050081293, 0.21880196292366882, -0.09575486583586947, 0.2597549685629207, -0.057575187456947466]"
mp-951,"[0.5986514491729972, 0.5725447364392194, 0.9688851674983328, 0.9617335878133493]"
mp-956,"[0.8466074737626209, 0.8983854902161731]"
mp-964,[-1]
mp-973,"[0.9256098035026714, 0.9006584805400231]"
mp-975,"[0.6549764723070299, 0.9437336358119695, 0.9438538551559161, 0.9941704593871625, 0.530604979504697, 0.9924231831465024, 0.3969658436103229]"
mp-976,"[0.9422261281491944, 0.8473756795493524, 0.9321780501145879, 0.9522876454643698]"
mp-978,"[0.40507956436117565, 0.6324400225228548, 0.40529463534221116, 0.55005291730949]"
mp-980,"[0.9607777769151346, 0.9152699065719118]"
mp-986,"[0.9580131394464619, 0.9580751549452985, 0.9581293257172753]"
mp-995,"[0.9913404167589236, 0.9912735934528478, 0.9912917910433311, 0.9912397489353098, 0.991224477211404, 0.9912457714366684]"
mp-1015,"[0.97936463588732, 0.9793903799413505, 0.9791317822940021, 0.979234296476134, 0.9791504102986399, 0.9791878750530042, 0.9791033999844836, 0.9791088953118203]"
mp-1016,"[0.9881869721819437, 0.9881722340863948]"
mp-1023,"[0.9558555648407128, 0.9671535837142522, 0.9588775736929364, 0.9555907261066349, 0.9587511327300059, 0.9668997813359502]"
mp-1029,"[0.9966993468725177, 0.9966890543227814, 0.9966261780603196, 0.9966643501181427, 0.9967337421258867]"
mp-1031,"[0.9927685279614834, 0.992734435103398, 0.9927000549461492]"
mp-1043,"[0.1279286136703935, 0.09772238535974628, 0.140784112158728, 0.07941940967149419, 0.14451959508615136, 0.057458233982620247]"
mp-1045,"[0.9873867982834682, 0.9870830436180393, 0.9916369217482625, 0.9870741673292912, 0.987261570526775]"
mp-1051,"[0.9889100891269913, 0.9884425487870966, 0.9890172370835333, 0.9890102526803217, 0.9886853960915263, 0.9882715564826134, 0.9888072325925744, 0.9888347406987834, 0.9885113958665473, 0.9880850834525092, 0.9885632755043758, 0.9886221304310769]"
mp-1056,"[0.9851310299173544, 0.9903112257391178, 0.9852450069427583, 0.9849996244011753, 0.9852476642116039]"
mp-1062,"[0.9628182425400272, 0.9628660338632408, 0.962906021649481]"
mp-1074,[-1]
mp-1075,"[0.984271781753304, 0.9820419871760191, 0.32884335194874986]"
mp-1085,"[0.9212165920095603, 0.9372963019843584, 0.9397447481801092, 0.9395285464704705]"
mp-1096,"[0.9643008216448031, 0.9643031287172306, 0.9642794819984589]"
mp-1107,"[0.6441754660800294, 0.5170188006652366, 0.47307931849010204, 0.41959344440958973]"
mp-1111,"[0.9883012515128875, 0.98624227383451, 0.9863435053084417]"
mp-1112,"[0.9648137295270115, 0.9644947041544896, 0.9546635256975262, 0.9491167629519363]"
mp-1147,"[0.665521807594727, 0.7890324629475618, 0.5485926534479278, 0.7542977925168645, 0.7957889065517899, 0.9574493453317835]"
mp-1163,"[0.9414958536522569, 0.9415188047098941, 0.941446576633545, 0.9413055183929595, 0.9254882856008659]"
mp-1179,"[0.9811796860490608, 0.9842659899533088, 0.3375575162274241]"
mp-1200,"[0.9398660420959073, 0.9499865510150141, 0.26762174500985647]"
mp-1217,[-1]
mp-1237,"[0.6354087862271393, 0.4961323327135292]"
mp-1261,"[0.9941876793458094, 0.9941597525713713, 0.9941315817889217]"
mp-1273,[-1]
mp-1311,"[0.9885608229004863, 0.9835206283584138, 0.9835038678000939, 0.9833484452658503, 0.9833643720125396, 0.9884695896670579]"
mp-1314,[-1]
mp-1323,[-1]
mp-1355,[-1]
mp-1382,"[0.9699574942478453, 0.969949885484745]"
mp-1383,"[0.9419236938048714, 0.9426281605551584, 0.6844966427591554, 0.705745946637014]"
mp-1384,"[0.8293587066544553, 0.8347416963068951, 0.8352709470876786, 0.8337357350816936, 0.8268581964271837]"
mp-1385,"[0.9723219732879098, 0.9476676056651893]"
mp-1389,[-1]
mp-1397,"[0.904476728294635, 0.7233763562434216, 0.9228005453062654, 0.37752345656262526]"
mp-1409,"[0.9897605541530765, 0.9897491524704958, 0.9896739774806583, 0.989677236530101, 0.9897146839588137]"
mp-1419,"[0.7942229507694448, 0.9972590027216426, 0.7497941873899047, 0.9972397508499682, 0.8397256276240008]"
mp-1422,"[0.5908912043321856, 0.5604319112842275, 0.9091499340016218, 0.873772771552984]"
mp-1426,"[0.9819319893232906, 0.9818767792576701, 0.981796150607089, 0.981716567854139, 0.981733464377606, 0.9815849409011581]"
mp-1427,"[0.9828437669964207, 0.9829072682798061, 0.9885431231068293, 0.9828913013275509, 0.9827971126943653]"
mp-1428,"[0.989962928309081, 0.989819168417701, 0.9898315772232162, 0.9898767596300038, 0.989671441577974, 0.9896899284559594]"
mp-1429,"[0.9625029662590358, 0.964423993894334, 0.9641728801469183, 0.9642459744597106, 0.9622213807184024]"
mp-1436,"[0.33242761774061486, 0.5552087713468384, 0.33276479104390466, 0.03004007787919859, 0.33283877525506905, 0.5800402709002884]"
mp-1455,"[0.9849168677070479, 0.9840664575700679, 0.9832854044281265]"
mp-1468,[-1]
mp-1469,[-1]
mp-1473,"[0.9843452397014218, 0.9801890549169526, 0.9841841176461184, 0.9800270890985148, 0.9801701515875871, 0.9843949520240249, 0.9796941229987299]"
mp-1477,"[0.9239008602145405, 0.5430564025769421, 0.819855547661248, 0.27482401082993574, 0.7480024001643893, 0.11178741993420366]"
mp-1478,"[-0.007980339258075451, -0.03694590068131017]"
mp-1506,"[0.5770687402959901, 0.6204192773171461, 0.7271820108277117, 0.5874790003669652, 0.16430439035099065, 0.698287570244801, 0.7205721567667873]"
mp-1510,[-1]
mp-1513,"[0.973432018290645, 0.9709714102629203, 0.9636866959504634, 0.9637626935182716, 0.9725679693826129, 0.9633020355297035, 0.964679295225334, 0.9633178628496609]"
mp-1518,"[0.9435081484245019, 0.9433845841980307, 0.9432543473883215]"
mp-1521,"[0.962271044328884, 0.9643934879512658]"
mp-1525,"[0.9708615269171877, 0.970736210276148, 0.9707790418609669]"
mp-1553,"[0.3268939294905662, 0.9837545169033062, 0.9817383556124801]"
mp-1556,"[0.9865724018611481, 0.9865575296415108, 0.9865570737670546]"
mp-1559,"[0.32119873695983625, 0.1748628974088512, 0.16069012348103165, 0.27323930256662743]"
mp-1567,[-1]
mp-1568,[-1]
mp-1581,"[0.9565727485171432, 0.39422164111992997, 0.9757859605122859, 0.2825117583984639, 0.47023603134603886]"
mp-1582,"[0.9583674166933408, 0.9371293728199372, 0.8863393801753694, 0.9800462258633271, 0.9408932255956479, 0.9945165138023837]"
mp-1588,"[0.02875499949103427, 0.013303554610716462, 0.06702468795984055, 0.07398913699001182, 0.02034781019185455, 0.06194963278531472, 0.07279132254265182, -0.008674924581085179, 0.9834886593416191, -0.010785307252967292, 0.07917782104108152, 0.03875902972640572, 0.11048573367372262, 0.14095671715842198, 0.06895388795231767, 0.03202356979197084]"
mp-1597,"[0.9418396400037695, 0.9411987332939978, 0.9399614281819038]"
mp-1619,"[0.9199725306129671, 0.04167921360623762, 0.7824220286807191, 0.08825821665070592, 0.9188699917005472, 0.23824184700039094]"
mp-1654,"[0.9899155762058738, 0.9897993616577101, 0.986864766063862, 0.9857640309903763]"
mp-1655,"[0.9318090016030118, 0.9311153662391057, 0.9317497068887057, 0.9309859551138345, 0.9317605023289608, 0.9314965610210987]"
mp-1657,"[0.8314843578626789, 1.9182373756680773]"
mp-1658,"[0.9891363367157243, 0.9819334221571496, 0.9891839114793883, 0.9817539195818251]"
mp-1666,"[0.7992923974983797, 0.7937164081512342, 0.7725336159933044, 0.7228204871405862, 0.7239061956533256, 0.8074291444204938]"
mp-1673,"[0.5815557281051299, 0.5265999422344239, 0.7476350950791497, 0.7769440549415639, 0.05649606673522598, 0.4904359386913419, 0.761929407739894]"
mp-1679,"[0.9906026706294734, 0.9905865672840716, 0.9890435546354833, 0.9893168158692253, 0.9890512051912094, 0.9893033835624495, 0.99050786169395, 0.9905786524249607, 0.9892896038121913, 0.9891078904560776, 0.9892749208408096, 0.9888765403180798]"
mp-1707,"[0.9191011705748523, 0.986320005735122, 0.11552323601806128, 0.9573072618995383, 0.8510208015400227, 0.41319619180424516, 0.9377105215075385]"
mp-1714,"[0.9832277477816402, 0.9884245853315331, 0.9885429461674026, 0.9822107588228902]"
mp-1716,"[0.9858769363740978, 0.9810879234065033, 0.9878581600892868, 0.9844990345659271]"
mp-1721,"[-0.03182705821589203, 0.987025374254459, -0.008851416353061964, -0.007424354060025777, 0.007224106253642272, -0.017921175000853894, 0.009704108404082538, -0.0077914023725005836]"
mp-1724,"[0.9857788322707208, 0.9815965422224553, 0.9827463547759617, 0.9815679619217148, 0.9857056009581356, 0.9796916591227678]"
mp-1726,"[0.7061271681363175, 0.7030315568250837, 0.9964874096036486, 0.7078408913328601, 0.9981763959926927]"
mp-1729,"[0.9854918949587358, 0.9854401239054877, 0.9875508254448527, 0.987364660808295, 0.9873661670481594, 0.9870339490154477]"
mp-1731,"[0.963033012894571, 0.9657950101704197, 0.965555716797973, 0.9656181651150655, 0.962750788768625]"
mp-1745,"[0.6675955727423483, 0.8416062466698238, 0.9490902335114124, 0.8923517076782669]"
mp-1747,"[0.9726497756727533, 0.9726177577100589, 0.9725306847804717]"
mp-1754,"[0.9722078643191016, 0.8771365549558718]"
mp-1759,"[0.8477643340785995, 0.8426345204779471, 0.8156865177915065]"
mp-1760,"[0.8450778908567086, 0.8422914714164069]"
mp-1767,"[0.9887831786058507, 0.9822202221120686, 0.9888397531586581, 0.9819109571246851]"
mp-1777,"[0.9957910296698741, 0.9957856579137059]"
mp-1798,"[0.9603363876444866, 0.95996815029728, 0.9596966688058272]"
mp-1804,"[0.96718563162392, 0.9721107593736182, 0.6505472475114179]"
mp-1806,"[0.7016698574282897, 0.9969914208944411, 0.7021698840017321, 0.9970087212271764, 0.7022460666951774, 0.9978923213639046, 0.7019745154270335, 0.9969977703047347, 0.7101221999576742, 0.9964983105788028, 0.6969617716771727]"
mp-1808,"[0.9794168574833052, 0.9808528899157685, 0.9790639880297674, 0.9791897699179513, 0.9808470171420061, 0.9802078065063983, 0.980303319839741, 0.9790627366384652]"
mp-1824,"[0.9824161764230168, 0.9924874473680146, 0.21196994175548328]"
mp-1840,"[0.9818556623802985, 0.9834187646692655, 0.9835817212417584, 0.9822785334117072, 0.9723191332715511]"
mp-1849,"[0.9739999727318746, 0.9749086910326892, 0.9728425161105334, 0.841446584890182]"
mp-1852,"[0.9877515059214805, 0.987739601603767, 0.987718040739141]"
mp-1854,"[0.6228969526727669, 0.5916220775880063, 0.9577320768644607, 0.9418959840457795]"
mp-1875,"[0.9977956240942064, 0.9853420045223019, 0.9976622659446148, 0.9956772748110824, 0.9570039838912086, 0.9989950232728178]"
mp-1888,[-1]
mp-1897,"[0.9654001480664387, 0.9650018323803263, 0.9653717044974437, 0.9649948728761946, 0.9653361360535689, 0.9648813179542387]"
mp-1898,"[0.5228037540548417, 0.2233093588584418]"
mp-1908,"[0.9701644062387154, 0.9701747148598231, 0.9731192074903724, 0.9699788320646878, 0.9701419987404334, 0.9736475659262159, 0.9740819337700004]"
mp-1910,"[0.9722385221098498, 0.9157728481667644]"
mp-1911,"[0.9677506692250885, 0.9677345933731717, 0.9677160760460839]"
mp-1928,"[0.9443831010386651, 0.9438614189463236, 0.9443088026823366, 0.9437113396929505, 0.9442162066705518, 0.9436276816401894]"
mp-1959,"[0.9695312214182171, 0.9692425207918336, 0.9686241412724634]"
mp-1967,"[0.9672400127638494, 0.9975169441395926, 0.9639761830787923, 0.9671944827401013, 0.9975085085783932, 0.9617787219042722, 0.9610987999698198, 0.99750379290933, 0.9632475655495835]"
mp-1974,"[0.4550716310813127, 0.6503612706065341, 0.5002994314148766, 0.48362584984890133]"
mp-1990,"[0.15084549005931414, 0.12697240260957962, 0.17241296489242966, 0.2744843311498152]"
mp-1992,"[0.9446740795065055, 0.9733408121452364, 0.9752015450334783]"
mp-1999,"[0.7180638855395959, 0.41204007178737223, 0.9631416744047712, 0.7422330483912805, 0.3653383839021049, 0.9621742243068284, 0.739497545709148, 0.3466342253219209, 0.9608370377321093]"
mp-2018,"[0.9829702271416536, 0.98282253465907, 0.9827881738381271, 0.982654789797375, 0.9825704676850013, 0.9824641217985522]"
mp-2033,"[0.5067662465701385, 0.07962284023812448, 0.39755240321340357]"
mp-2042,"[0.9885574637794732, 0.9889031032498715, 0.9890570274404763, 0.9890951762692398, 0.9884118933456616, 0.9887571609606043, 0.9888922530842753, 0.9889529302819683, 0.9884721388440807, 0.9881265253112551, 0.9886554358695596, 0.9887166421901844]"
mp-2056,"[0.5467533067178063, 0.5382126765201318, 0.538414201283107]"
mp-2058,"[0.9898168070374544, 0.9900634655369015, 0.9907152952349807, 0.990166771638973]"
mp-2066,"[0.9875385433486725, 0.9888215519964323]"
mp-2084,"[0.6539933396895079, 0.5821750368077787, 0.9230142268734675, 0.5019576229679344, 0.643116285263203, 0.6201008201006946, 0.7295159661984746]"
mp-2086,"[0.9823267950619038, 0.9823011720079425, 0.9822869520979929]"
mp-2088,"[0.13042918814076027, -3.515893427349486e-05, 1.0150695050159586, 1.0065168003296587]"
mp-2092,"[0.9528805787338605, 0.952726957377843, 0.9525730132772178]"
mp-2098,"[0.9263587201396778, 0.9469940263230926, 0.9434990183809654, 0.9432659262867202]"
mp-2104,"[0.9623981605992487, 0.9623511093692154, 0.9623620223835797]"
mp-2109,"[0.6189636545456387, 0.5932802726073912, 0.9053185928470318, 0.8759825729802325]"
mp-2137,[-1]
mp-2146,[-1]
mp-2149,"[0.8022556641529676, 0.8387574089192497, 0.6914711177004185, 0.712293423949888]"
mp-2152,"[0.9812788490378715, 0.9844736139020106, 0.3379834636528042]"
mp-2154,"[0.9641165651232243, 0.9641696358807516, 0.9642030383858518]"
mp-2173,"[0.9289685763564479, 0.9946045345423782, 0.9530652119317983, 0.9473312707201796, 0.9945507476901596, 0.9279077398693569, 0.9512918860506069]"
mp-2184,"[0.8737931935197158, 0.7277491940506504, 0.9004761250750255, 0.8671103437656646, 0.7341672225904776, 0.9909659563734673, 0.7312780175748135, 0.7291794652028615, 0.8965002279819362]"
mp-2209,"[0.9689624862879531, 0.9394067524716222]"
mp-2216,[-1]
mp-2232,"[-0.01661456704872328, 0.9825552533872018, -0.027583027844788884, 0.9825797091002991]"
mp-2234,"[-0.01918482815383914, 0.8648798067299711, 0.8981033884392079, -0.05922921440950754, 0.5762117567957031, 0.5214075935521737, -0.06313398765084204]"
mp-2236,"[0.9534965550789644, 0.9470270083080629, 0.9522035979987487, 0.9466770114609354]"
mp-2254,"[0.9782567809446397, 0.9797159390837802, 0.9791872130454298, 0.9766772806128186, 0.974854462099326, 0.9816473255535098]"
mp-2269,"[0.9685907089284461, 0.9685464841565954, 0.9684764484166873]"
mp-2275,"[0.9987298192599979, 0.990941235453305, 0.9968887858633273, 0.9977196544108795, 0.8879439634979631, 0.998758489656943]"
mp-2279,"[0.9830694143697686, 0.9830189802910453, 0.9829679701178226]"
mp-2288,"[0.984654676822792, 0.9846349754932462, 0.9846285971821069]"
mp-2289,[0.9575842891085431]
mp-2292,"[0.9881842752917745, 0.9879491456334266, 0.9921385539076534, 0.9881293151424436, 0.9878352128155752]"
mp-2295,"[0.9700251033066463, 0.9698359641169149, 0.9703546022169367, 0.96997258113941, 0.9706190871724196, 0.9700347858050814]"
mp-2296,[-1]
mp-2317,"[0.9828742364129394, 0.9926688828793184, 0.20885766396661964]"
mp-2345,"[0.98376738885033, 0.9835002287265674, 0.9898308675991612, 0.9839480173996203, 0.983882167825067]"
mp-2361,"[0.9596435881099752, 0.9549594725563499, 0.9556437529668308]"
mp-2370,"[0.9847931695304828, 0.9824747078676749, 0.3279150839736419]"
mp-2409,"[0.6029093692014904, 0.9525037444942596, 0.19165842079200465]"
mp-2413,"[0.9299437011327483, 0.9294657388194584, 0.9297952338843547]"
mp-2414,"[0.9395864564412746, 0.9957963738201316, 0.9413002039011202, 0.9444664161782862, 0.9977750914272718, 0.9450024391633128, 0.9259647386376255, 0.9975445024956187]"
mp-2416,"[0.9934986894546678, 0.9909089556902647, 0.9902717022289802, 0.9955549911716975, 0.9920305044604857]"
mp-2423,"[0.9554737775893124, 0.9554273687198375, 0.9554749010265782]"
mp-2436,"[0.9900030523778895, 0.990444525121577]"
mp-2447,[-1]
mp-2452,"[0.7494856677954793, 0.9519784643004957, 0.9949384833788562, 0.776918130177614, 0.6599255281820229]"
mp-2454,"[0.9707621272007138, 0.9707375470213259, 0.9694422119368176, 0.9707827857463412, 0.2866843491169025]"
mp-2496,[-1]
mp-2497,"[0.9917595077374882, 0.9917256468606467, 0.9916915175213135]"
mp-2503,"[0.959119335970162, 0.9645931003458755, 0.9603637856464194, 0.9595453331185572, 0.9667342484256992, 0.9671102937222852]"
mp-2512,"[0.9555010426525231, 0.9627319674970308, 0.9549944809577047, 0.9589225524755884]"
mp-2514,"[0.8648925824534404, 0.8651341711143932, 0.8650692456067692, 0.8655860803439884, 0.8656562944143817]"
mp-2523,"[0.9779178698242925, 0.977821609546939, 0.9777262634768593]"
mp-2531,"[0.9597177169677739, 0.9596528678740439, 0.9588563480225561, 0.9651836987500845, 0.9657353326989174, 0.9585240725343829]"
mp-2548,"[0.9832052015556687, 0.9831778463502561, 0.9831640134446329]"
mp-2551,"[0.9395176441724951, 0.9496665312172162, 0.26713724001910544]"
mp-2562,"[0.29597995568219504, 0.6630069767640073, 0.8282144244378398]"
mp-2563,"[0.9673827179904925, 0.9674100947825498, 0.9673928316083777]"
mp-2565,[-1]
mp-2566,"[0.985566769907214, 0.9855474150513364, 0.985540178505146]"
mp-2571,"[0.7321454001593032, 0.9972900900241404, 0.7321631839748725, 0.9972967337313778]"
mp-2584,"[0.9840512285516131, 0.9823392198817255, 0.982909938692628, 0.9838045050434074, 0.9839545091999592, 0.9827104248590792, 0.9820945747565044, 0.9836554278853743, 0.9837871185180515, 0.9818721638323564, 0.9824788800483714, 0.9833153817055084]"
mp-2588,"[0.9635729589758317, 0.9611465693723492, 0.9666530131647819, 0.9666002769347242, 0.96304203811017, 0.9606799609571295, 0.9660807601379761, 0.9661515476883986, 0.9598952824707867, 0.9628718527711814, 0.9655215319412299, 0.9655476628681475]"
mp-2622,"[0.9452178965326076, 0.9451810063464711]"
mp-2625,"[0.9373696700248685, 0.9373047956412461]"
mp-2629,"[0.9386912993312607, 0.9376871558505318, 0.9412421391594885]"
mp-2632,"[0.9956875562261621, 0.9972338799320983, 0.99453255842763, 0.9939563580643915]"
mp-2636,"[0.9925223202761096, 0.9924872445461135, 0.992451889167286]"
mp-2650,[-1]
mp-2651,"[0.9938771192459195, 0.9927683987822641, 0.9918048536966522, 0.9934430511224512, 0.9938901107922117]"
mp-2652,"[0.9838702331623995, 0.9835757811593306, 0.9899001299241675, 0.9839574581944261, 0.984067021270658]"
