Index,MP ID,Chemical Formula,Anonymous Formula,FB Sublattice,N FBs,Sites per Unit Cell,Sites in FB Sublattice,d_NN,"d_NN,max",d_NNN,"NN,max/NN","NNN/NN,max",NNN/NN,N Elements,Spacegroup,Spacegroup Number,E per Atom,Bandgap,ICSD Reference,FB Lattice Dimensionality,FB Lattice IDs,Systre Key,Systre Spacegroup,RCSR Name,Flat with decay,Flat with no decay,FB Lattice with chi=1.02 and no decay,FB Lattice with chi=1.05 and no decay,FB Lattice with chi=1.1 and no decay,FB Lattice with chi=1.2 and no decay,FB Lattice with chi=1.4 and no decay,FB Lattice with chi=1.02 and decay,FB Lattice with chi=1.05 and decay,FB Lattice with chi=1.1 and decay,FB Lattice with chi=1.2 and decay,FB Lattice with chi=1.4 and decay
19134,mp-29166,Li3Ag2Ge3,A2B3C3,Li,2,16,6,2.78802,2.78802,4.55282,1,1.63299402443311,1.63299402443311,3,['Pn-3m'],224,-0.150117349791667,0,85306,[3],['SK-27'],['3 1 2 0 0 0 1 3 0 0 0 1 4 0 0 0 1 5 0 0 0 2 6 0 0 0 3 6 1 0 0 4 6 0 1 0 5 6 0 0 1'],['Fd-3m'],['None'],TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
19141,mp-1223872,HoCo4Ni,ABC4,Co,1,6,4,2.43061,2.4756,3.94013,1.01850975681002,1.59158587817095,1.62104574571815,3,['P-6m2'],187,-0.150961740000001,0,-1,[3],['SK-56'],['3 1 2 0 0 0 1 2 1 0 0 1 3 0 0 0 1 3 1 0 0 1 4 0 0 0 1 4 1 0 0 2 3 0 0 0 2 3 0 0 1 2 4 0 0 0 2 4 0 1 0 3 4 0 0 0 3 4 0 1 -1'],['P-6m2'],['hms-e'],TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
19158,mvc-16744,Y(CoS2)2,AB2C4,Co,2,14,4,3.54034,3.60694,6.17074,1.01881175254354,1.71079640914459,1.7429794878458,3,['I4_1/amd'],141,-0.982425837023809,0,-1,[3],['SK-3'],['3 1 2 0 0 0 1 2 0 0 1 1 3 0 0 0 1 3 0 1 0 1 4 0 0 0 1 4 1 0 0 2 3 0 0 -1 2 3 0 1 0 2 4 0 0 -1 2 4 1 0 0 3 4 0 0 0 3 4 1 -1 0'],['Fd-3m'],['crs'],FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
19182,mp-1246549,LaMg2Ti3S8,AB2C3D8,Ti,1,14,3,3.65006,3.65634,6.31867,1.00172051966269,1.72814070901503,1.73111400908478,4,['R-3m'],166,-1.70586686142857,0,-1,[2],['SK-1'],['2 1 2 0 0 1 2 0 1 1 3 0 0 1 3 1 0 2 3 0 -1 2 3 1 0'],['p6mm'],['kgm'],TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
19214,mvc-11244,CoS2,AB2,Co,2,12,4,3.29154,3.29154,5.70112,1,1.73205247391798,1.73205247391798,2,['Fd-3m'],227,-0.594099856250001,0,-1,[3],['SK-3'],['3 1 2 0 0 0 1 2 0 0 1 1 3 0 0 0 1 3 0 1 0 1 4 0 0 0 1 4 1 0 0 2 3 0 0 -1 2 3 0 1 0 2 4 0 0 -1 2 4 1 0 0 3 4 0 0 0 3 4 1 -1 0'],['Fd-3m'],['crs'],TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
19218,mp-754172,La3Ti2N3O4,A2B3C3D4,N,1,12,3,2.86675,2.86675,3.95491,1,1.37957966338188,1.37957966338188,4,['I-4m2'],119,-2.81043904638889,1.0263,-1,[2],['SK-4'],['2 1 2 0 0 1 2 0 1 1 3 0 0 1 3 1 0'],['p4mm'],['None'],TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
19223,mp-1104053,Al2HgS4,AB2C4,Al,2,14,4,3.67741,3.67741,6.36947,1,1.73205326574954,1.73205326574954,3,['Fd-3m'],227,-1.0897540825,1.7039,608160,[3],['SK-3'],['3 1 2 0 0 0 1 2 0 0 1 1 3 0 0 0 1 3 0 1 0 1 4 0 0 0 1 4 1 0 0 2 3 0 0 -1 2 3 0 1 0 2 4 0 0 -1 2 4 1 0 0 3 4 0 0 0 3 4 1 -1 0'],['Fd-3m'],['crs'],TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
19228,mp-1215563,YbCu2Ni3,AB2C3,Ni,1,6,3,2.4282,2.42821,3.97811,1.00000411827691,1.63828911008521,1.63829585701343,3,['P6/mmm'],191,-0.256575078333334,0,-1,[2],['SK-1'],['2 1 2 0 0 1 2 0 1 1 3 0 0 1 3 1 0 2 3 0 -1 2 3 1 0'],['p6mm'],['kgm'],TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
19251,mp-30807,ZrNi4Sn,ABC4,Ni,2,6,4,2.44206,2.45644,4.24223,1.00588847120873,1.72698295093713,1.7371522403217,3,['F-43m'],216,-0.374573125833334,0,105385,[3],['SK-3'],['3 1 2 0 0 0 1 2 0 0 1 1 3 0 0 0 1 3 0 1 0 1 4 0 0 0 1 4 1 0 0 2 3 0 0 -1 2 3 0 1 0 2 4 0 0 -1 2 4 1 0 0 3 4 0 0 0 3 4 1 -1 0'],['Fd-3m'],['crs'],TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
19261,mvc-11441,AlCr2O4,AB2C4,Cr,2,14,4,2.98262,2.9985,5.16605,1.00532417807163,1.72287810571953,1.73205101555009,3,['R-3m'],166,-2.50555718785714,2.0837,-1,[3],['SK-3'],['3 1 2 0 0 0 1 2 0 0 1 1 3 0 0 0 1 3 0 1 0 1 4 0 0 0 1 4 1 0 0 2 3 0 0 -1 2 3 0 1 0 2 4 0 0 -1 2 4 1 0 0 3 4 0 0 0 3 4 1 -1 0'],['Fd-3m'],['crs'],TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
