mp-ID,Formula,SynthNN_score
mp-1745,Sm2O3,0.531815
mp-1747,K2Te,0.18571065
mp-1754,UHg2,0.40264097
mp-1759,UF5,0.8474313
mp-1760,UF5,0.8474313
mp-1767,Tm2O3,0.055287868
mp-1777,Li15Ge4,0.43616325
mp-1798,CeMg3,0.46829382
mp-1804,Fe3N,0.100231625
mp-1806,RbO3,0.023386069
mp-1808,Ti2Ni,0.22972079
mp-1824,NdNi5,0.8559314
mp-1840,TiO2,0.86269045
mp-1849,Mn2P,0.15381227
mp-1852,UF5,0.8474313
mp-1854,EuPd2,0.29407537
mp-1875,TeF6,0.5878489
mp-1888,RbGe,0.08192081
mp-1897,PuRh2,0.09111284
mp-1898,CeSi2,0.25732252
mp-1908,Pr5Ge4,0.36667952
mp-1910,CeNi5,0.8316877
mp-1911,CeSn3,0.5031459
mp-1928,PuMn2,0.11204064
mp-1959,PuO2,0.22896728
mp-1967,TaTe2,0.7045441
mp-1974,CeB4,0.4400797
mp-1990,Mg3As2,0.24591546
mp-1992,Pu5Ru3,0.6765195
mp-1999,Sb2O3,0.024961332
mp-2018,AlFe3,0.23896635
mp-2033,Ni3N,0.114175424
mp-2042,HoNi3,0.8646995
mp-2056,Ni3Se2,0.11117443
mp-2058,Ni3B,0.7903287
mp-2066,EuCu5,0.29811677
mp-2084,Si5Ir3,0.047892455
mp-2086,PuS,0.017444216
mp-2088,CeAl2,0.704424
mp-2092,CePd3,0.6055786
mp-2098,CeOs2,0.6918608
mp-2104,UAs,0.13790712
mp-2109,CePt2,0.60451955
mp-2137,Mg2Ni,0.12124763
mp-2146,KGe,0.059133377
mp-2149,NpIr2,0.1911799
mp-2152,YNi5,0.8204996
mp-2154,CeP,0.038474265
mp-2173,P2O5,0.64105517
mp-2184,As2O3,0.21333987
mp-2209,CeGa2,0.07655761
mp-2216,Ce2Co17,0.53513426
mp-2232,CS2,0.04785981
mp-2234,Er2S3,0.87849873
mp-2236,UIr,0.013717164
mp-2254,Al2O3,0.724566
mp-2269,UTe,0.15634143
mp-2275,UF6,0.9070254
mp-2279,PuSn3,0.4927965
mp-2288,PuSe,0.020805001
mp-2289,CeAl4,0.43566337
mp-2292,La2O3,0.33096287
mp-2295,CaNi2,0.026080443
mp-2296,Ni3P,0.67208296
mp-2317,LaNi5,0.88762957
mp-2345,Dy2O3,0.5296185
mp-2361,Hf5Al3,0.71474963
mp-2370,PrNi5,0.9044808
mp-2409,Ni5Sb2,0.38203263
mp-2413,Ce3Al,0.038289472
mp-2414,SO3,0.69491583
mp-2416,YF3,0.92146486
mp-2423,US,0.1951013
mp-2436,EuZn5,0.5129497
mp-2447,P4Se5,0.008400679
mp-2452,P2O5,0.64105517
mp-2454,TiFe2,0.23614976
mp-2496,Cs4Sn23,0.43418217
mp-2497,GdZn,0.03616743
mp-2503,Pd7Se4,0.029911341
mp-2512,AsPd5,0.47372082
mp-2514,Mg3P2,0.017066596
mp-2523,PuPt3,0.52841336
mp-2531,Er2Co17,0.5323489
mp-2548,PuAs,0.10898189
mp-2551,DyCo5,0.7902289
mp-2562,MnS,0.28796336
mp-2563,CeSe,0.20322132
mp-2565,S2N,0.09583882
mp-2566,PuSb,0.38400993
mp-2571,Rb2O3,0.034403518
mp-2584,TbFe3,0.6751335
mp-2588,YCo3,0.5132358
mp-2622,Pa3As4,0.041238494
mp-2625,U2C3,0.3328172
mp-2629,Ce7O12,0.112073965
mp-2632,TlF3,0.18151794
mp-2636,GdMg,0.049407728
mp-2650,P4S7,0.02467421
mp-2651,PrF3,0.9544082
mp-2652,Y2O3,0.8543581
mp-2675,MgNi2,0.2371457
mp-2689,ThFe5,0.85946333
mp-2707,USb2,0.5413524
mp-2716,TiNi,0.3235092
mp-2717,Zr2Ni7,0.5114492
mp-2721,Ce2O3,0.03792187
mp-2729,Sn7Os3,0.026950646
