mat_id,av_drop,max_drop,min_drop
mp-775165,0.9986549663665382,0.9988245313502796,0.9984364799809508
mp-775166,0.9989625304676503,0.9993007485278168,0.9985292525389287
mp-775167,0.9973956965887992,0.9993361946669492,0.9944862389561816
mp-775168,0.9961549796197732,0.9988059646708195,0.993603285228893
mp-775177,0.9956590176647379,0.9986881615614316,0.99271222890495
mp-775179,0.9960351023718097,0.9989253502525567,0.9934055134409926
mp-775180,0.988860916713242,0.9982082724796302,0.9795135609468538
mp-775181,0.9988938528798472,0.9993166305241795,0.998471075235515
mp-775190,0.9988458666727696,0.9992471368529182,0.9984445964926211
mp-775191,0.9959308957006331,0.9989731010039263,0.9930587049304498
mp-775192,0.9956491386499068,0.9987946001870224,0.9915970702323813
mp-775196,0.9945165823053455,0.9948847578998558,0.994148406710835
mp-775197,0.9970470575777632,0.9992713293831228,0.9938755781557301
mp-775200,-1.0,-1.0,-1.0
mp-775201,0.9989478957695026,0.9994370643350133,0.998458727203992
mp-775210,0.9990813259338216,0.9994591006266856,0.9987035512409577
mp-775214,0.9984491289764267,0.9985765859939421,0.9983677958801883
mp-775219,0.9994009234084993,0.9994273581216851,0.9993744886953134
mp-775221,0.9962577391819388,0.9992289449155263,0.9940836434849477
mp-775224,0.9991784348487847,0.999266150184736,0.9990907195128335
mp-775225,0.9995607030014347,0.9997163704019779,0.9994050356008916
mp-775226,0.9966041414923478,0.99906472307766,0.9917111077122738
mp-775227,0.9878501370784534,0.9911754447148547,0.9836732002414176
mp-775231,0.9994090165839166,0.9994345481336423,0.9993834850341908
mp-775240,0.996221659824933,0.9991937487914266,0.9943006389511826
mp-775260,0.9952976234920398,0.9993546445023297,0.9872989589439429
mp-775262,0.9970825865726769,0.9989775408228703,0.9933250821601912
mp-775264,0.993502738237048,0.9945258647807,0.992479611693396
mp-775270,0.99604205363135,0.9989005915982372,0.9931355081062517
mp-775272,0.9994918318872712,0.9995119573198065,0.9994717064547358
mp-775275,0.9993193553878199,0.9993293661195618,0.9993093446560779
mp-775276,0.9978005735085103,0.9988550899640475,0.9967460570529729
mp-775278,0.9987434714564121,0.9988896774498263,0.998597265462998
mp-775288,0.9967915124088529,0.9988090976925301,0.9947739271251758
mp-775289,0.9982769141863825,0.9984608468014516,0.9980929815713135
mp-775290,0.9995858917373482,0.9996460409756709,0.9995257424990256
mp-775295,0.9931620095710615,0.9989880797546238,0.9815192225635596
mp-775297,0.9973952336476829,0.9993571023670647,0.9948023188641093
mp-775298,0.9914837193961605,0.99878413706878,0.9841833017235412
mp-775299,0.995977605013004,0.9989564167099985,0.9928653640790812
mp-775307,0.9957735028574718,0.9988348157052996,0.9928596177783354
mp-775311,0.9988213790503927,0.9989164914381975,0.998766151927104
mp-775315,0.9828700559395874,0.9944796408445458,0.9712604710346291
mp-775319,0.9943941095012878,0.9951568874752388,0.9936313315273368
mp-775328,0.9988994200820521,0.9994609736539216,0.997969787730625
mp-775333,-1.0,-1.0,-1.0
mp-775334,0.9963283967960453,0.9993520729411758,0.9918641181002988
mp-775335,0.9908205955724891,0.9912371458595379,0.9904040452854405
mp-775336,-1.0,-1.0,-1.0
mp-775337,0.9966853676045451,0.9984264647872,0.9949442704218902
mp-775338,0.9982542808764582,0.9982934778296487,0.9982119216451907
mp-775340,0.9959323231472517,0.9959323231472517,0.9959323231472517
mp-775387,0.9962026508918721,0.9981280856169177,0.9942772161668265
mp-775433,0.9984661375354831,0.999183140255255,0.9977491348157111
mp-775435,0.9821380574950996,0.9985227993648252,0.9518647480806651
mp-775436,0.9991348651028744,0.999524127123158,0.9987456030825909
mp-775437,0.9988916255082854,0.9992211440506009,0.9985621069659698
mp-775439,0.9968739126093004,0.9996026632056658,0.9941451620129349
mp-775440,0.9990168465285865,0.9993458553642854,0.9988112958364669
mp-775460,0.9991721954049239,0.9993645072021505,0.9989321691561788
mp-775461,0.9990005987347134,0.9990792616111166,0.9989489600898468
mp-775479,0.9993402769796803,0.9996596593496081,0.999158953344867
mp-775492,0.9990212204766835,0.999052797555528,0.9989647911137784
mp-775493,0.9916952667331264,0.9924127046166845,0.991334137824592
mp-775520,0.9930522438116083,0.9982462467262834,0.9878582408969331
mp-775539,0.9972495587532597,0.9976762936486736,0.9968228238578458
mp-775544,0.9986322812724936,0.9997135011309204,0.9970217052037391
mp-775589,0.9993034187872081,0.9994559519250364,0.9991508856493797
mp-775601,0.9983807392657499,0.9992822738984307,0.9972370609225795
mp-775631,0.9926386598938475,0.9981039094997941,0.987173410287901
mp-775644,0.9988467970135325,0.9989477545807393,0.998708988295365
mp-775656,0.9924712112124867,0.9987564181152515,0.986186004309722
mp-775695,0.9895521702228516,0.9906384337886928,0.9884659066570104
mp-775713,0.996146457601378,0.998910461484121,0.9929915172188495
mp-775738,0.9970607274097475,0.9990994809969833,0.9952194046503142
mp-775748,0.9923996814962006,0.9983911447310692,0.9864082182613322
mp-775765,0.9992373139064439,0.9996727055844568,0.9986853626250796
