mat_id,av_drop,max_drop,min_drop
mp-771252,0.994965885709702,0.9952229212277076,0.9945217241772624
mp-771261,0.9991657810172891,0.9991801060175021,0.9991494008679465
mp-771269,0.9964756378635281,0.998052593153425,0.9945811284280888
mp-771271,0.9948022022393793,0.9993996135857867,0.9867326641344578
mp-771289,0.9947316431647878,0.9961389381605004,0.9926361225305751
mp-771298,0.9976792523495708,0.9992706507505771,0.9960878539485645
mp-771307,0.9900506622254324,0.998459529056315,0.9816417953945498
mp-771310,0.9949612524696492,0.9971846790818423,0.992737825857456
mp-771312,0.9987575322034188,0.9993336259659262,0.9981814384409115
mp-771313,0.9963849115715289,0.9983821944580614,0.9943876286849964
mp-771314,0.9974424503604954,0.9974648620290345,0.9974145295704812
mp-771316,0.9965217008720013,0.9987206914592348,0.9943227102847677
mp-771318,0.9990088700983867,1.0023487926359367,0.9961412528995507
mp-771320,0.9993659500235079,0.9997617462085027,0.9989701538385131
mp-771325,0.9988044110645043,0.9990155323401425,0.9986746106314806
mp-771327,0.9907104129885709,0.9973398066063629,0.9840810193707787
mp-771333,0.9965115075976844,0.998420179613894,0.9946028355814748
mp-771348,0.9945027965443805,0.9961482915768387,0.9928573015119222
mp-771350,0.994720338917906,0.9969629642090717,0.9924777136267402
mp-771359,0.9995532474875131,0.9995532474875131,0.9995532474875131
mp-771370,0.9978300044746456,0.9982915200008172,0.9973684889484741
mp-771389,0.9989816383616317,0.9991632997284408,0.9988437494837433
mp-771396,0.9934825063544116,0.9991330726033542,0.9830498652926747
mp-771398,0.9946750428596427,0.996735253483953,0.9926148322353323
mp-771408,0.9859333518025829,0.9992373594326641,0.9593426375867239
mp-771431,0.9912966039662128,0.9993116671906592,0.9832815407417662
mp-771478,0.998719507042067,0.9993668399907942,0.9980721740933398
mp-771487,0.9979449649316801,0.9982728674136595,0.9976170624497006
mp-771495,-1.0,-1.0,-1.0
mp-771508,1.0065304278333085,1.0175748107467597,0.9954860449198573
mp-771523,0.9936930417295367,0.9974419266769969,0.9899441567820764
mp-771571,0.9918193387544705,0.9979146302005368,0.985724047308404
mp-771611,0.9918792944497663,0.9946527321269343,0.9864376916447501
mp-771641,0.9973551764040638,0.9986944731028142,0.9960158797053135
mp-771647,0.9912237461423338,0.9946080267187437,0.9887854247248732
mp-771649,0.99757247542215,0.9975895876233468,0.9975518131875284
mp-771660,-1.0,-1.0,-1.0
mp-771669,0.9933722645024803,0.9967961766786315,0.9899483523263289
mp-771674,0.9990055972584171,0.9994672500265406,0.9985439444902935
mp-771687,0.9942989825810833,0.9943183435916954,0.9942796215704712
mp-771692,0.9981604514850136,0.9981689127958223,0.9981498014186354
mp-771693,0.9981420514469008,0.9991569475776226,0.997127155316179
mp-771695,0.9962997168822197,0.9966168039417944,0.9959826298226451
mp-771696,0.9980982517167591,0.998110960122843,0.9980809577565045
mp-771699,0.99613177796932,0.9964438502243298,0.99581970571431
mp-771700,0.998504850685853,0.9985429799711368,0.9984645433375329
mp-771702,0.9955156623102127,0.9982993503361988,0.9899837165003913
mp-771706,0.9975621313153481,0.9995256730885824,0.996489190872875
mp-771710,0.9973297596711901,0.9973337373534437,0.9973257819889364
mp-771717,0.9928789437213853,0.9943175422318126,0.990304987256795
mp-771764,0.9965921201414666,0.9966402928233485,0.9964962835472948
mp-771767,0.9988839900588262,0.9997289119778274,0.9981021784743663
mp-771768,0.9987762887141547,0.9993507072279029,0.9982018702004066
mp-771773,0.9982207691465206,0.9998101912299989,0.9960136866786553
mp-771776,-1.0,-1.0,-1.0
mp-771777,0.9955603018486763,0.995730190162743,0.9953904135346097
mp-771820,0.9927060665635854,0.9980251868021309,0.98738694632504
mp-771826,0.9953311957015669,0.9970398251336624,0.9936225662694715
mp-771827,-1.0,-1.0,-1.0
mp-771839,-1.0,-1.0,-1.0
mp-771853,0.9934163370448781,0.999420101523599,0.9874125725661573
mp-771854,0.9900988331057323,0.998602016744704,0.9815956494667607
mp-771877,-1.0,-1.0,-1.0
mp-771878,0.9948256103579082,0.9949272034361824,0.9947628842373015
mp-771880,0.998896348076644,0.9993559498224899,0.998436746330798
mp-771884,0.9979312397381896,0.9979312397381896,0.9979312397381896
mp-771886,0.9989269692912873,0.9993299714076812,0.9986103587004631
mp-771895,0.9931168594806501,0.9979350976891282,0.9882986212721719
mp-771897,0.992637566477799,0.9951441121040516,0.9912953502199103
mp-771902,0.9954586401785386,0.9979634268536366,0.9929538535034406
mp-771903,0.9951941809640701,0.9992537832667242,0.9908149542295455
mp-771904,0.9954119323789055,0.9955694045353171,0.9952544602224938
