mat_id,av_drop,max_drop
mp-554838,0.9963796941158668,0.9989093651086733
mp-554839,-1.0,-1.0
mp-554840,0.9980190119220879,0.9995270744770687
mp-554842,0.9970643803538858,0.9978202862935076
mp-554843,0.9963527081412178,0.9978345623642344
mp-554845,0.9973269535914656,0.9982706834174748
mp-554847,0.9965111909111968,0.9979665728443488
mp-554852,0.9960157796282623,0.998063613468188
mp-554853,0.9964508978031876,0.9986464471124308
mp-554854,0.9976032298519227,0.9994597245127714
mp-554855,0.9985399035383494,0.999169399616191
mp-554856,0.9970538765820485,0.9980442602724573
mp-554863,0.9962240058195394,0.9980285024571691
mp-554866,0.9967286560562151,0.9998651963328343
mp-554868,-1.0,-1.0
mp-554869,0.9935950058460578,0.9966690555322216
mp-554873,0.9972510561773569,0.9983676352789888
mp-554874,0.9972810383230154,0.9986043387408707
mp-554879,0.9967455064943955,0.9995346663180593
mp-554882,0.9991626615412629,0.9995704497189107
mp-554885,0.971603669710555,0.9888602816703582
mp-554886,0.9896210213030248,0.9985529990643722
mp-554888,-1.0,-1.0
mp-554894,0.9973365055612208,0.9978332356518439
mp-554896,0.9953092826647915,0.999315502884062
mp-554899,1.0292750253937892,1.0891511824206077
mp-554900,0.9971026069733027,0.9992536177645653
mp-554901,0.9955446551162668,0.9993672389339712
mp-554903,0.9841849565202626,0.9990996644825788
mp-554911,-1.0,-1.0
mp-554913,0.9923994370061487,0.9928546216037473
mp-554918,0.9907548989696418,0.995787847714738
mp-554919,0.997746914076895,0.9988246019912337
mp-554928,-1.0,-1.0
mp-554929,0.9890414559767792,0.9970747019481556
mp-554930,-1.0,-1.0
mp-554935,-1.0,-1.0
mp-554944,0.9989820188678843,0.9997651368115952
mp-554947,0.9896833482630034,0.9934591105969975
mp-554948,0.9971296435948781,0.998454202340697
mp-554949,0.9972940707267145,0.9999474875389222
mp-554952,-1.0,-1.0
mp-554957,-1.0,-1.0
mp-554959,0.9955869570187679,0.9973744544258077
mp-554964,-1.0,-1.0
mp-554966,0.9982998641079346,0.9984045907110618
mp-554977,0.9910790182152719,0.9948803152124341
mp-554979,-1.0,-1.0
mp-554980,-1.0,-1.0
mp-554988,-1.0,-1.0
mp-554990,0.9947755467023507,0.9994491920978328
mp-554994,0.998952510283916,0.9996823141718665
mp-554996,-1.0,-1.0
mp-555000,-1.0,-1.0
mp-555002,0.996794035874616,0.9979967343933132
mp-555003,0.9177276548902503,0.9929071407639872
mp-555005,0.9942869298859467,0.998845134272459
mp-555007,0.9983985745116062,0.998728647479084
mp-555010,0.9921485432276077,0.9977013034716682
mp-555013,0.9889624749459284,0.995144707905303
mp-555018,0.9958489853583914,0.9971745707510983
mp-555021,0.9938577797184035,0.9960053747880007
mp-555022,-1.0,-1.0
mp-555023,0.9939252947236099,0.9977236923391046
mp-555026,0.9983809254457547,0.9988036095250774
mp-555028,0.9797152107995104,0.9962599984829792
mp-555034,0.9761840091328593,0.9923165983226697
mp-555048,0.9971098307471656,0.9988187439303365
mp-555050,0.9874561006289502,0.9966738221177295
mp-555056,0.9858360516497662,0.9858360516497662
mp-555063,0.9952484831241758,0.9969931419280167
mp-555067,-1.0,-1.0
mp-555068,-1.0,-1.0
mp-555070,0.9880535728330829,0.9880535728330829
mp-555071,0.998046858331817,0.9992342905171424
mp-555074,1.0578590740073022,1.1225090342317734
mp-555076,0.9989466895263615,0.999839281264248
mp-555078,0.9939738959847483,0.9971306319181713
mp-555080,0.9975342926834627,0.9984926372247644
mp-555081,0.955931664082061,0.9692945358406303
mp-555083,0.9978175768078313,0.9991490006475803
mp-555084,0.9726876693344613,0.9809030554592515
mp-555087,0.9946909182639225,0.9961474314610901
mp-555088,0.9464620896775453,0.9627232134170496
mp-555089,0.993382993762041,0.994055606321832
mp-555090,-1.0,-1.0
mp-555092,-1.0,-1.0
mp-555093,0.9980908738968687,0.9984567992951477
mp-555094,0.9849036753230278,0.9995836271071845
mp-555095,0.9910911333369639,0.9943569973571359
mp-555097,0.9849194295977104,0.9920783616443313
mp-555099,0.9955647433908837,0.9956641475189053
mp-555100,0.9906887516122239,0.9938514799864498
mp-555104,0.9934486211487501,0.9951071490726252
mp-555105,0.9965852285866263,0.9965852285866263
mp-555108,0.9928056301072307,0.9957057655700554
mp-555110,0.9991963981644973,0.9994466049226397
mp-555114,0.9945262057467904,0.9984497516202211
mp-555116,-1.0,-1.0
mp-555117,-1.0,-1.0
mp-555118,0.9989903692324926,0.9997489459938143
mp-555119,0.37837621924521847,0.6134520059907806
mp-555120,0.9958482927745074,0.997406873278398
mp-555127,-1.0,-1.0
mp-555129,0.9756679082707923,0.9937291518065924
mp-555131,0.9962049895924223,0.998454323676683
mp-555132,0.9976237484986589,0.9985056445318208
mp-555133,0.999228463125449,0.9997349629016382
mp-555137,0.9985422834449967,0.9991864993802023
mp-555140,0.9898239013266389,0.9898239013266389
mp-555154,0.9979269060426533,0.9982716155565271
mp-555155,0.9974107104680822,0.9974107104680822
mp-555156,0.9992653975009673,0.9992789672425726
mp-555159,0.9820278740638931,0.9884831412246131
mp-555172,-1.0,-1.0
mp-555178,-1.0,-1.0
mp-555179,0.9925061883467738,0.9958324534872763
mp-555188,-1.0,-1.0
mp-555191,0.9945994503403588,0.9950901638044295
mp-555194,0.9991191608652468,0.9994046973250316
mp-555198,-1.0,-1.0
mp-555199,0.9671020519430439,0.979153459495927
mp-555202,0.9950525260215745,0.9989355049085679
mp-555203,0.9821417729417871,0.9954996766349994
mp-555204,0.9974483664841852,0.9984460830976155
mp-555206,0.9954872812844635,0.9991614301939045
mp-555207,0.9992080408202241,0.9993610400090965
mp-555211,0.9970528529612371,0.9999862715880551
mp-555217,0.9959844182121844,0.9993922432355937
mp-555218,0.9974863693126413,0.998377991806841
mp-555219,0.40493800728206203,0.9812696939019618
mp-555227,0.997089161418806,0.9972484951798406
mp-555229,0.9979891818214351,0.998565226752602
mp-555231,0.9945026171243103,0.9983401128497865
mp-555232,-1.0,-1.0
mp-555234,0.9873053989460002,0.9880037825285447
mp-555237,0.9965003891880961,0.9989069980238002
mp-555242,0.9847226829513889,0.9873839808136117
mp-555245,0.9980020484217744,0.9983227218388538
mp-555246,0.9963895222836439,0.996449629519317
mp-555247,0.9519089832939619,0.9785802081499863
mp-555250,0.9971981202514333,0.9992479597062077
mp-555252,-1.0,-1.0
mp-555253,-1.0,-1.0
mp-555254,0.9921194658866566,0.9964968068195391
mp-555257,0.771127397901727,0.9714930190406114
mp-555259,0.996806275298647,0.9983083117572473
mp-555266,0.9811216547625072,0.9997002654317266
mp-555268,0.9916094322611937,0.9917480388962036
mp-555269,0.9722902438845936,0.977722269768289
mp-555271,0.9964597126166539,0.9982152601036127
mp-555272,0.9808511476506867,0.9951610078267752
mp-555273,0.9919005056187894,0.997371501953306
mp-555283,0.7238416656426686,0.870772016040916
mp-555284,0.9940348524587886,0.9970257527360069
mp-555286,0.9969189307411441,0.9976804300658824
mp-555287,0.788889893706272,0.9043916630088215
mp-555288,0.8563953370254557,0.9965334991245695
mp-555292,0.9982346643428056,0.9986702438272592
mp-555299,0.9994370933381155,0.9997647721776964
mp-555300,0.9951814982294804,0.9980922951993991
mp-555302,1.027338972560431,1.055303264714565
mp-555305,0.9937490871698832,0.9972707564024332
mp-555314,0.9981432508887838,0.998629147144947
mp-555315,0.9841872349576509,0.9970334655070288
mp-555318,0.9843210880814932,0.9908182634398773
mp-555321,0.9877931112692662,0.9973733499563245
mp-555322,0.9993328008234552,0.9993328008234552
mp-555325,0.9986641969261155,0.998857313598132
mp-555331,0.9937905827939912,0.9940816720304824
mp-555333,0.9994087816464946,0.9996166800743173
mp-555335,0.9993349713513736,0.9993349713513736
mp-555338,0.996177953489297,0.9979384947538247
mp-555340,1.622313682599018,1.632589109067655
mp-555342,0.9960925951016512,0.9964529748956822
mp-555343,-1.0,-1.0
mp-555344,0.9977908105698414,0.999170720514075
mp-555349,0.9861474260763774,0.9942397629094106
mp-555354,-1.0,-1.0
mp-555355,0.9915606138531009,0.9998059780447537
mp-555356,0.9906288936050479,0.9906288936050479
mp-555358,0.9853803768604791,0.9902855503715439
mp-555363,0.9933061291639099,0.9961176561924973
mp-555364,0.9982841173677941,0.9993755817964973
mp-555369,0.9984797416558009,0.9993859788450116
mp-555373,0.9959359869566177,0.998838884491118
mp-555385,0.9904441906526772,0.9955390811182846
mp-555387,0.9983323523132106,0.998960476422982
mp-555388,0.9968507607434276,0.9992328015966231
mp-555390,0.9983788353136954,0.998952771612335
mp-555393,-1.0,-1.0
mp-555394,-1.0,-1.0
mp-555396,0.9875197026712277,0.9945523460763059
mp-555399,0.9900389528743729,0.9900389528743729
mp-555403,-1.0,-1.0
mp-555407,0.9468609315030317,0.9854577188649786
mp-555408,-1.0,-1.0
mp-555414,0.9399224078089916,0.9526272959417453
mp-555417,0.9979218417384871,0.9979218417384871
mp-555418,0.9971072237621726,0.998547752353775
mp-555421,0.9977460243291976,0.9985275078020265
mp-555424,0.9979433293612248,0.9987737858338066
mp-555435,0.9798270533635686,0.9921859607637956
mp-555438,-1.0,-1.0
mp-555439,0.9990802734920279,0.9991762271580997
mp-555442,0.993901745428862,0.9989848131976204
mp-555443,-1.0,-1.0
mp-555447,0.9954512899336077,0.9966972320494375
mp-555451,0.9951477110109198,0.9952421559744252
mp-555457,0.9983021405491979,0.9990534321000546
mp-555458,0.9990176328778269,0.9990176328778269
mp-555462,0.995979667264908,0.9977973119567775
mp-555463,0.9973150720163485,0.9978987582350018
mp-555470,0.9946584426962388,0.9946584426962388
mp-555471,-1.0,-1.0
mp-555476,0.9958593963615745,0.9970753800258646
mp-555477,0.9946300861669899,0.9948578692578972
mp-555481,0.9817758963597178,0.9967845363824103
mp-555482,0.9966999714619232,0.9984469283424667
mp-555484,2.639553163541601,6.0905952860341666
mp-555487,0.990123564449975,0.9935547485839095
mp-555488,0.9956487219634474,0.9974871646147151
mp-555490,0.9985923412542679,0.9990900225851105
mp-555494,0.9889158335311038,0.9970864638702381
mp-555497,0.9995267086802545,0.9995267086802545
mp-555498,0.9927775126286313,0.9965216835840341
mp-555507,0.9627243178705928,0.9863303238668685
mp-555508,0.9979321566295007,0.9979321566295007
mp-555509,0.9977763654150599,0.9982623616782957
mp-555512,0.9970223301981017,0.9985806760733851
mp-555513,0.9901521328462223,0.9951623267274444
mp-555514,0.9983275512859112,0.9994223921344649
mp-555515,0.9906807821077228,0.9927060112422612
mp-555517,0.997362315845713,0.9991890408767461
mp-555519,0.9993222905386556,0.999538468841587
mp-555521,-1.0,-1.0
mp-555522,0.9867462048532243,0.9985480660932171
mp-555524,0.9877093873272468,0.9914874950204619
mp-555526,0.9968876923902141,0.9985534000580533
mp-555527,0.9705946380266905,0.9818833639848327
mp-555528,0.9993758203751127,0.9993758203751127
mp-555534,0.9966854573124526,0.997868065760549
mp-555537,0.9968124467328574,0.9978783226057746
mp-555540,-1.0,-1.0
mp-555541,0.988158098035681,0.9978774637331558
mp-555546,-1.0,-1.0
mp-555548,0.9659221192865536,0.9885245248238673
mp-555552,0.9968215348661862,0.9980156445988829
mp-555554,0.998580274581149,0.9997315860578949
mp-555558,0.9963765243132732,0.9983796555222223
mp-555560,0.9970106137231888,0.9977303348251837
mp-555561,0.9907548096457781,0.992772953143763
mp-555562,-1.0,-1.0
mp-555563,-1.0,-1.0
mp-555568,-1.0,-1.0
mp-555569,0.995533632543887,0.9977575117328532
mp-555570,0.9562800407696598,0.9955331564766661
mp-555575,0.9966693168739129,0.9991766881837681
mp-555576,0.9975338765797962,0.9990189816129815
mp-555580,0.9992213139611866,0.9995464134936718
mp-555582,0.9970103873932011,0.9982704802263216
mp-555585,0.5581608004453372,0.9660462352327527
mp-555586,0.9787644643573938,0.9787644643573938
mp-555587,0.996112115919235,0.9985424565111662
mp-555591,0.9980047686903902,0.9984958143874622
mp-555596,0.9803752520924078,0.9854190914861589
mp-555597,0.9822681869215785,0.9890760787296081
mp-555598,0.9931528332911358,0.9959019215416539
mp-555604,-1.0,-1.0
mp-555605,-1.0,-1.0
mp-555608,0.9969909026451641,0.9993201430524542
mp-555609,0.9954123396172398,0.9991718986231903
mp-555621,0.9979382422262879,0.9993826189232929
mp-555625,-1.0,-1.0
mp-555626,0.9963052327626353,0.9975748376840592
mp-555629,0.997336880327038,0.9981326190954507
mp-555631,0.9915595466519882,0.9990502360732049
mp-555641,0.9902052015339483,0.9946508218407246
mp-555644,0.9976169339847806,0.9980368142823408
mp-555646,0.9944856314901988,0.9977158990819969
mp-555650,0.9919981668092097,0.9961348042002095
mp-555656,0.9994315471636235,0.9996580367808577
mp-555661,-1.0,-1.0
mp-555665,0.9973569006856112,0.9992703557771537
mp-555669,0.9755444618457128,0.9889413506280175
mp-555676,0.9915902691047168,0.9959747383986991
mp-555679,-1.0,-1.0
mp-555682,0.9979511731108688,0.9987998394474566
mp-555687,0.9969806059404541,0.9969806059404541
mp-555691,0.9976710595292082,0.9985350349839681
mp-555692,0.9979970153289007,0.9988110149872849
mp-555698,0.9994954540842131,0.9994954540842131
mp-555700,0.994794686468107,0.999721813956483
mp-555704,0.9994528479617717,0.9998277403556055
mp-555710,0.9977094967631274,0.998755531443353
mp-555711,0.9988683619771735,0.9996630698692266
mp-555716,0.963699415833158,0.9731584109818996
mp-555717,0.9904850260019706,0.9915042437305933
mp-555720,-1.0,-1.0
mp-555721,-1.0,-1.0
mp-555726,0.9995211783537803,0.999816534956439
mp-555728,1.0058060193923117,1.0222783277401837
mp-555729,0.9997424654368848,0.9997837953376617
mp-555730,0.9995113834124879,0.9995113834124879
mp-555731,0.9917871885685096,0.9936060208024671
mp-555736,-1.0,-1.0
mp-555740,0.9827617060304322,0.9827617060304322
mp-555741,0.9980895121784313,0.9987773726209063
mp-555742,-1.0,-1.0
mp-555747,0.9917307936561778,0.9957347941371489
mp-555752,0.9816564887163337,0.9967478696751738
mp-555755,0.9953831843559643,0.9953831843559643
mp-555759,0.9957215217814651,0.9983866617009802
mp-555764,0.9945251787977123,0.9966771335133103
mp-555770,0.9966201866339972,0.99895073892369
mp-555776,-1.0,-1.0
mp-555784,0.997142565181471,0.9992634217410384
mp-555785,-1.0,-1.0
mp-555786,0.9979231298100024,0.9988641035676056
mp-555790,0.9976946801070954,0.998224625209037
mp-555791,-1.0,-1.0
mp-555794,0.993902465598984,0.9984419546682803
mp-555799,0.9931726097745033,0.9975850571769236
mp-555800,-1.0,-1.0
mp-555805,0.9911182039071861,0.9936144172398284
mp-555808,0.9982976242626244,0.9987550983553054
mp-555812,0.993146574961932,0.9973611471636287
mp-555818,0.9981515510974023,0.9994183810907659
mp-555821,0.9992312622783941,0.9996913217043173
mp-555823,0.9957489828620177,0.9992736952111038
mp-555825,0.9936557043283951,0.9975893178084362
mp-555830,0.9969937109597083,0.9983353384884228
mp-555833,-1.0,-1.0
mp-555835,0.9920537345383879,0.9920537345383879
mp-555837,0.991194247327284,0.9965386430431136
mp-555839,-1.0,-1.0
mp-555840,0.9976259617251162,0.9977341495695794
mp-555842,0.9952221697864312,0.9984156539723598
mp-555843,0.9898524598743251,0.9943845670386721
mp-555844,0.9930512338513745,0.9944090286074558
mp-555845,0.9985661617793619,0.9985661617793619
mp-555846,0.9962802119953459,0.9978296420395879
mp-555848,0.9924938058924886,0.994920429847787
mp-555851,0.9951890108406187,0.9966006912501435
mp-555852,0.9775650172226446,0.9775650172226446
mp-555856,0.9980908552193283,0.9980908552193283
mp-555857,0.48737788417731454,0.9470102956747608
mp-555860,0.7906460198763241,0.9771721790620774
mp-555861,0.8652618992949297,0.9295951505444618
