mat_id,drop_values
mp-7,[0.970377]
mp-25,[0.9995396  0.99956373 0.99955335]
mp-35,[0.98639735]
mp-43,[0.8215721  0.72460701 0.61221098]
mp-83,[-1]
mp-118,[0.99163466 0.98483478 0.9931857 ]
mp-155,[ 0.0718174  -0.01113952]
mp-172,[0.75375962 0.93757098 0.65704245]
mp-183,[0.96659441 0.96658015 0.96656314]
mp-186,[-1]
mp-202,[-1]
mp-210,[0.97721973 0.97660147]
mp-216,[0.99567354]
mp-218,[0.99735248 0.9980299  0.99795442]
mp-223,[0.81237899 0.98073469]
mp-226,[0.9798212  0.97993116 0.97910556]
mp-230,[0.98624841 0.68411785 0.84085811]
mp-243,[0.98416886]
mp-254,[0.9990477  0.99566986]
mp-287,[0.97880397 0.9825275  0.99833843]
mp-294,[0.99418193]
mp-299,[0.98910668 0.99552197 0.99797181]
mp-306,[0.98129538 0.99458336]
mp-308,[0.63798564 0.98341034]
mp-310,[0.10147545 0.60083589]
mp-334,[0.99545072 0.9990469 ]
mp-337,[-1]
mp-355,[-1]
mp-356,[0.97471312 0.97471128 0.97502076]
mp-368,[0.98972862 1.31253849 0.99669726]
mp-383,[0.42543691 0.71037604 0.48624535]
mp-387,[0.97040091 0.97184131]
mp-392,[0.9713308]
mp-394,[0.94786836 0.97573317 0.94753421]
mp-397,[0.99740847 0.98764682]
mp-411,[0.98233877 0.97820811]
mp-413,[0.94676806 1.13581224 0.94627007]
mp-449,[0.98683805 0.98583644]
mp-457,[-1]
mp-466,[0.99484542 0.99472248 0.99474147]
mp-468,[0.96010141]
mp-472,[0.59496978 0.56304058 0.5298545 ]
mp-473,[-1]
mp-491,[0.96866211 0.96953852 0.96999868]
mp-502,[0.83618581 0.67153661 0.51809197]
mp-519,[0.96810227 0.96866357]
mp-528,[0.95186741 0.9519681  0.95205606]
mp-531,[-1]
mp-566,[1.1577346  0.87061619 0.87206039]
mp-569,[0.49045123 0.72124385]
mp-582,[0.9075183  0.82069891]
mp-588,[0.99890963 0.99567572]
mp-597,[0.97219902 0.97221704 0.97843152]
mp-604,[0.99037356 0.99138703 0.98508249]
mp-606,[0.96594858]
mp-607,[0.98571546 0.95475577]
mp-612,[0.98834082 0.99077608 0.98920977]
mp-614,[0.9960679  0.9964405  0.99600944]
mp-619,[0.57155725 0.54130702 0.60785072]
mp-639,[-0.02694783  0.89705828  0.92448689]
mp-641,[0.97906765 0.97515542 0.96404138]
mp-644,[0.96647708]
mp-654,[1.02589086 0.98758232 0.98728874]
mp-666,[0.97346628]
mp-679,[0.99764109]
mp-681,[0.98982155 0.99198895]
mp-690,[0.74083718 0.52462829 0.76168795]
mp-698,[0.97384819 0.9758369  0.64232474]
mp-702,[0.96673083 0.96670542 0.96669554]
mp-711,[ 0.41431649  0.42067345 -0.07406071]
mp-723,[0.97585028 0.97351262]
mp-726,[0.99262623 0.99656187 0.99154124]
mp-733,[0.97751428 0.79330017]
mp-743,[0.86024431]
mp-748,[0.9854056  0.97131145 0.99670833]
mp-761,[0.93442178 0.94206888]
mp-764,[0.9673663  0.97888991]
mp-774,[0.98881013 0.99277879 0.98872586]
mp-775,[0.97032913 0.97281469 0.97273094]
mp-787,[0.96093111]
mp-807,[0.97961204 0.97966234]
mp-809,[0.96857449 0.97772936]
mp-812,[0.99694331]
mp-821,[0.91806146 0.76492986]
mp-843,[0.98891487 0.98881354 0.98870259]
mp-844,[0.99300181]
