,score
mp-202,0.989559338
mp-2033,0.978218855
mp-2042,0.892028276
mp-2056,0.94725897
mp-2058,0.97282856
mp-2066,0.948791119
mp-2084,0.982929621
mp-2086,0.948791119
mp-2088,0.948928977
mp-2098,0.948929503
mp-210,0.949028648
mp-2104,0.947680477
mp-2109,0.948928977
mp-2137,0.947996958
mp-2146,0.940781024
mp-2149,0.94893114
mp-2152,0.899892515
mp-2154,0.948791119
mp-216,0.973882512
mp-2173,0.880941311
mp-218,0.975950385
mp-2184,0.956690906
mp-2209,0.948791119
mp-2216,0.959149732
mp-223,0.981904554
mp-2232,0.954979657
mp-2234,0.973855531
mp-2236,0.925657123
mp-2254,0.979286002
mp-2269,0.948791119
mp-2275,0.945074718
mp-2279,0.948791119
mp-2288,0.948791119
mp-2289,0.948791119
mp-2292,0.628178667
mp-2295,0.880876002
mp-2296,0.97423809
mp-230,0.948824518
mp-2317,0.899850746
mp-2345,0.624825412
mp-2361,0.984014695
mp-2370,0.685332824
mp-2409,0.872478654
mp-2413,0.916420534
mp-2414,0.976901119
mp-2416,0.945851894
mp-2423,0.947680477
mp-243,0.996050198
mp-2436,0.948791119
mp-2452,0.901947505
mp-2454,0.741947726
mp-2496,0.835946634
mp-2497,0.948791119
mp-25,0.994281966
mp-2503,0.988763489
mp-2512,0.953209336
mp-2514,0.924020102
mp-2523,0.948791119
mp-2531,0.89562593
mp-254,0.947722607
mp-2548,0.948791119
mp-2551,0.899891831
mp-2562,0.968373598
mp-2563,0.948791119
mp-2565,0.981250059
mp-2566,0.948791119
mp-2571,0.964530315
mp-2584,0.9037073
mp-2588,0.892936584
mp-2625,0.793174546
mp-2629,0.985653283
mp-2632,0.965297001
mp-2636,0.947680477
mp-2650,0.988340533
mp-2651,0.947722607
mp-2652,0.62374226
mp-2675,0.974397733
mp-2689,0.948607448
mp-2707,0.854060895
mp-2716,0.992719077
mp-2717,0.770486869
mp-2721,0.504942825
mp-2729,0.990543185
mp-2748,0.947680477
mp-2750,0.474614647
mp-2753,0.988104115
mp-2754,0.944744991
mp-2756,0.948791119
mp-2759,0.895608199
mp-2779,0.869608494
mp-2780,0.99061192
mp-2794,0.994499108
mp-2801,0.846977299
mp-2804,0.854295094
mp-2827,0.685331815
mp-2832,0.948560435
mp-2837,0.685331815
mp-2838,0.948364228
mp-2839,0.948791119
mp-2840,0.880807507
mp-2848,0.873490915
mp-2849,0.831244398
mp-2856,0.876037128
mp-2863,0.948791119
mp-2868,0.958326042
mp-287,0.991203626
mp-2878,0.964515723
mp-2879,0.993200785
mp-2882,0.974575033
mp-2884,0.948299023
mp-2885,0.979003325
mp-2892,0.737859018
mp-2895,0.985543733
mp-2903,0.948791119
mp-2910,0.992396768
mp-2911,0.836760485
mp-2923,0.975517843
mp-2928,0.94882326
mp-2931,0.985963713
mp-2939,0.992223874
mp-294,0.976566353
mp-2943,0.96892561
mp-2948,0.885820116
mp-2951,0.646984199
mp-2955,0.965269804
mp-2956,0.854926472
mp-2965,0.948791119
mp-2968,0.837132604
mp-2970,0.995888539
mp-3107,0.9871795
mp-3109,0.98267122
mp-3114,0.923990693
mp-3118,0.972688946
mp-3120,0.973122846
mp-3138,0.984575538
mp-3142,0.996291053
mp-3143,0.966097168
mp-3154,0.847874227
mp-3164,0.970649852
mp-3172,0.994622324
mp-3180,0.98904757
mp-3193,0.977779908
mp-3202,0.985663533
mp-3217,0.98133483
mp-3219,0.992968712
mp-3222,0.880876002
mp-3237,0.982415432
mp-3249,0.83517314
mp-3252,0.968002013
mp-3258,0.695584996
mp-3263,0.982070703
mp-3269,0.965082845
mp-3273,0.953539841
mp-3281,0.964080678
mp-3283,0.919142069
mp-3284,0.732705415
mp-3285,0.754780657
mp-3286,0.948791119
mp-3288,0.909026264
mp-3289,0.93357117
mp-3297,0.995348126
mp-3303,0.948791119
mp-3311,0.954855388
mp-3312,0.836337999
mp-3319,0.977977319
mp-3325,0.948791119
mp-3333,0.948791119
mp-3334,0.880807507
mp-3335,0.880807507
mp-3338,0.632287281
mp-334,0.800807005
mp-3344,0.785277954
mp-337,0.948299023
mp-3370,0.880807507
mp-3372,0.897556631
mp-3374,0.981658792
mp-3375,0.983841291
mp-3378,0.994600069
mp-3384,0.983338372
mp-3397,0.975258424
mp-3400,0.929474553
mp-3402,0.996839146
mp-3404,0.968119713
mp-3405,0.964496381
mp-3406,0.948791119
mp-3408,0.948299023
mp-3412,0.948791119
mp-3414,0.923245447
mp-3416,0.993188522
mp-3419,0.957210748
mp-3430,0.977977403
mp-3437,0.948791119
mp-3446,0.653923428
mp-3453,0.927851296
mp-3457,0.978373799
mp-3468,0.982317186
mp-3470,0.977976432
mp-3472,0.876228681
mp-3476,0.950838946
mp-3488,0.871372175
mp-3494,0.948791119
mp-3499,0.948299023
mp-35,0.948875287
mp-3501,0.960719912
mp-3502,0.98177502
mp-3516,0.984224545
mp-3520,0.781075691
mp-3523,0.898468508
mp-3529,0.932076597
mp-3531,0.980789915
mp-3535,0.947680477
mp-3538,0.951663733
mp-3540,0.986660014
mp-3541,0.991247718
mp-3545,0.850332495
mp-355,0.976379567
mp-3552,0.995487801
mp-3557,0.948791119
mp-356,0.949015803
mp-3563,0.828716537
mp-3564,0.720504129
mp-3566,0.948791119
mp-3569,0.996618158
mp-3575,0.975138135
mp-3579,0.98267388
mp-3581,0.947976508
mp-3583,0.384068408
mp-3584,0.973167221
mp-3589,0.987489014
mp-3594,0.941045382
mp-3598,0.841842728
mp-3601,0.996618158
mp-3603,0.768882878
mp-3618,0.916621027
mp-3622,0.982415432
mp-3626,0.707138205
mp-3627,0.967541158
mp-3629,0.982443916
mp-3633,0.886243724
mp-3638,0.383088855
mp-3640,0.968691042
mp-3652,0.904519295
mp-3660,0.985849498
mp-3663,0.787295297
mp-3667,0.989683434
mp-3669,0.947976818
mp-3671,0.951232794
mp-368,0.989602205
mp-3680,0.954196794
mp-3689,0.991809701
mp-3694,0.948568953
mp-3696,0.880807507
mp-3700,0.778130049
mp-3704,0.901849951
mp-3706,0.898146864
mp-3708,0.972330778
mp-3719,0.977558534
mp-3727,0.923186317
mp-3731,0.815894277
mp-3735,0.833588701
mp-3758,0.948791119
mp-3759,0.935853734
mp-3768,0.932441131
mp-3771,0.914319417
mp-3775,0.859338095
mp-3778,0.953511758
mp-3779,0.903202345
mp-3782,0.775337181
mp-3787,0.982648069
mp-3789,0.873237611
mp-3790,0.85147193
mp-3792,0.968480111
mp-3797,0.904209458
mp-3799,0.948539775
mp-3816,0.989488331
mp-3817,0.834574344
mp-3821,0.948791119
mp-3826,0.948791119
mp-3827,0.992104873
mp-3828,0.87804099
mp-383,0.96684834
mp-3831,0.97357606
mp-3848,0.727693154
mp-3859,0.926050835
mp-3867,0.957729826
mp-3868,0.988798289
mp-387,0.948791119
mp-3870,0.780229024
mp-3879,0.996618157
mp-3884,0.880807507
mp-3890,0.849853026
mp-3891,0.804319494
mp-3897,0.940903694
mp-3901,0.980581081
mp-3910,0.945535041
mp-3917,0.9800875
mp-3919,0.935170035
mp-392,0.996160115
mp-3922,0.974724643
mp-3925,0.880876002
mp-3928,0.991948343
mp-3930,0.945537062
mp-394,0.948791119
mp-3941,0.986792139
mp-3943,0.966569865
mp-3949,0.867474857
mp-3952,0.83859786
mp-3954,0.948876127
mp-3955,0.981498757
mp-3962,0.796842529
mp-3963,0.985585592
mp-3967,0.97431791
mp-397,0.93207742
mp-3970,0.996600617
mp-3972,0.405200696
mp-3975,0.940180482
mp-3977,0.993989137
mp-3978,0.865334018
mp-3980,0.959525938
mp-3996,0.99340889
mp-4002,0.985178314
mp-4016,0.975200966
mp-4019,0.898831478
mp-4035,0.838601041
mp-4047,0.983171612
mp-4048,0.949037405
mp-4049,0.819216585
mp-4050,0.948791119
mp-4052,0.896052457
mp-4066,0.993252794
mp-4068,0.763265369
mp-4077,0.94653423
mp-4086,0.880807507
mp-4090,0.948791119
mp-4091,0.992028088
mp-4092,0.976161812
mp-4093,0.94673537
mp-4096,0.873490915
mp-4100,0.948560435
mp-4103,0.992910824
mp-4107,0.962838108
mp-411,0.974542016
mp-4112,0.911976309
mp-4117,0.993878902
mp-4122,0.992775014
mp-413,0.994779936
mp-4135,0.96849247
mp-4136,0.992262438
mp-4138,0.984569519
mp-4150,0.624030907
mp-4157,0.996267904
mp-4163,0.984026376
mp-4164,0.619160622
mp-4169,0.906604352
mp-4180,0.987509347
mp-4185,0.989014596
mp-4190,0.744340353
mp-4194,0.620499483
mp-4199,0.438947102
mp-4202,0.776901969
mp-4206,0.995813779
mp-4207,0.982797503
mp-4214,0.985187294
mp-4219,0.948299488
mp-4223,0.858565384
mp-4236,0.812109914
mp-4238,0.983958773
mp-4240,0.948791119
mp-4242,0.768069315
mp-4264,0.97158437
mp-4266,0.996092231
mp-4271,0.552563588
mp-4274,0.881490318
mp-4279,0.99276204
mp-4287,0.995071327
mp-4297,0.948791119
mp-4298,0.98293731
mp-43,0.979028392
mp-4307,0.947976672
mp-4309,0.949739801
mp-4320,0.87889826
mp-4325,0.973964536
mp-4338,0.977977134
mp-4350,0.936908991
mp-4351,0.944378054
mp-4360,0.881903287
mp-4361,0.971854866
mp-4374,0.982253671
mp-4376,0.982383744
mp-4383,0.974082332
mp-4393,0.991731629
mp-4394,0.880807507
mp-4396,0.996287115
mp-4408,0.945536792
mp-4409,0.98138701
mp-4417,0.960601936
mp-4421,0.989144157
mp-4423,0.880807507
mp-4428,0.882291846
mp-4429,0.623439982
mp-4433,0.948791119
mp-4434,0.992318983
mp-4438,0.963478042
mp-4449,0.890365458
mp-4450,0.995105162
mp-4454,0.620499483
mp-4459,0.985316333
mp-4474,0.875589136
mp-4481,0.979072139
mp-449,0.983994586
mp-4492,0.948299023
mp-4502,0.989361898
mp-4527,0.904013849
mp-4529,0.900468581
mp-4534,0.995419174
mp-4537,0.948791119
mp-4544,0.802154322
mp-4561,0.948791119
mp-457,0.948299023
mp-4571,0.990838369
mp-4575,0.990133712
mp-4577,0.790395119
mp-4578,0.926121206
mp-4589,0.972957637
mp-4590,0.983465532
mp-4591,0.987175361
mp-4597,0.958362231
mp-4598,0.72326573
mp-4602,0.880807507
mp-4604,0.986058139
mp-4606,0.948791119
mp-4608,0.996362493
mp-4618,0.978032967
mp-4627,0.973041211
mp-4630,0.949353588
mp-4634,0.685331815
mp-4643,0.987450326
mp-4648,0.929684859
mp-4649,0.947976672
mp-4655,0.699653934
mp-4657,0.953824582
mp-4659,0.991680504
mp-466,0.986367352
mp-4668,0.873490915
mp-4669,0.946835586
mp-4672,0.947494868
mp-4674,0.988820065
mp-4676,0.887241222
mp-468,0.94732098
mp-4873,0.707824931
mp-4875,0.956041226
mp-4876,0.991739809
mp-4891,0.967233841
mp-4895,0.982686822
mp-4906,0.948178868
mp-4907,0.747201975
mp-5285,0.995615648
mp-5299,0.98659862
mp-5302,0.921256285
mp-5306,0.942336741
mp-5308,0.988073318
mp-5033,0.981363743
mp-5142,0.900834773
mp-5284,0.948791119
mp-4917,0.98264479
mp-4929,0.994889174
mp-4934,0.884521893
mp-4937,0.824396149
mp-4955,0.948299023
mp-4967,0.939471649
mp-4971,0.949999028
mp-4973,0.948201274
mp-4974,0.945536792
mp-4975,0.896923795
mp-4983,0.98120174
mp-4989,0.84842202
mp-4995,0.925232191
mp-5013,0.872344191
mp-5015,0.857235274
mp-5024,0.996618158
mp-5026,0.993371454
mp-5029,0.973130449
mp-5032,0.899017681
mp-5036,0.943108173
mp-5038,0.996519547
mp-5039,0.969421251
mp-5040,0.935327543
mp-5046,0.988294328
mp-5050,0.947976672
mp-5052,0.954246696
mp-5055,0.470730089
mp-5056,0.995573581
mp-5061,0.861663618
mp-5065,0.862924246
mp-5078,0.972102102
mp-5081,0.923015735
mp-5094,0.948326469
mp-5104,0.965674484
mp-5114,0.989402599
mp-5116,0.850864769
mp-5121,0.98994798
mp-5131,0.982438381
mp-5141,0.994223261
mp-5146,0.880876002
mp-5151,0.843547956
mp-5152,0.987651246
mp-5156,0.980171643
mp-5158,0.886573802
mp-5173,0.948791119
mp-5178,0.995465812
mp-5182,0.942620574
mp-5189,0.993556497
mp-5207,0.989153859
mp-5214,0.994181032
mp-5223,0.97223324
mp-5226,0.871252157
mp-5241,0.947333784
mp-5251,0.880005235
mp-5259,0.962974902
mp-5268,0.957084768
mp-5279,0.992419012
mp-5309,0.958389739
mp-5318,0.948058627
mp-5321,0.977209312
mp-5322,0.880876002
mp-5323,0.947680477
mp-5335,0.982472428
mp-5338,0.974693528
mp-5363,0.978988939
mp-5368,1.145238864
mp-5372,0.914555638
mp-5381,0.407423844
mp-5382,0.974858278
mp-8447,0.974440814
mp-8449,0.752930376
mp-8450,0.792644813
mp-8462,0.996523718
mp-8469,0.948791119
mp-8479,0.994002788
mp-8491,0.881737961
mp-8496,0.983554721
mp-8500,0.525232669
mp-8511,0.993510368
mp-8530,0.615260322
mp-8531,0.754828273
mp-8537,0.98589197
mp-8560,0.980893022
mp-8564,0.959167051
mp-8570,0.63049051
mp-8573,0.817398562
mp-8582,0.948791119
mp-6698,0.880876002
mp-6700,0.995641713
mp-6702,0.964365631
mp-6704,0.996618158
mp-6706,0.793725713
mp-6708,0.544921248
mp-6709,0.917905477
mp-6711,0.910174926
mp-6712,0.989868612
mp-6721,0.948560435
mp-6738,0.682555141
mp-6741,0.937680385
