material_id,score
mp-7,0.999939240813255
mp-25,0.893844994008541
mp-35,0.999976879358292
mp-43,1
mp-83,0.999927833080292
mp-118,0.999795798659325
mp-155,0.999999998807907
mp-172,1
mp-183,1
mp-186,0.999999856948853
mp-202,0.999866145849228
mp-210,1
mp-216,0.926544522643089
mp-218,0.375600621849298
mp-223,0.999769298434257
mp-226,0.857108650803566
mp-230,0.999897874593735
mp-243,0.999885890483856
mp-254,0.999462978243828
mp-287,0.975453156232834
mp-294,0.0974623495712876
mp-299,0.945392141342163
mp-306,0.976584779024124
mp-308,0.121246508341283
mp-310,0.999999996423721
mp-334,0.999788371324539
mp-337,1
mp-355,0.999987698793411
mp-356,0.999954201579094
mp-368,0.921080895662308
mp-383,1
mp-387,0.999999842643738
mp-392,1
mp-394,1
mp-397,0.999319779872894
mp-411,0.999967102408409
mp-413,0.999730735421181
mp-449,0.735074311494827
mp-457,1
mp-466,0.572547863423824
mp-468,0.995764091610909
mp-472,0.99986331641674
mp-473,0.999910340905189
mp-491,1
mp-502,0.998242201209068
mp-519,1
mp-528,1
mp-531,1
mp-566,0.999999998807907
mp-569,0.999989895820618
mp-582,1
mp-588,0.99995424926281
mp-597,0.985123127102852
mp-604,0.52155081808567
mp-606,1
mp-607,1
mp-612,0.99994793176651
mp-614,0.708038370758295
mp-619,0.945870240628719
mp-639,0.999991338253021
mp-641,0.999667721986771
mp-644,1
mp-654,0.998155819177627
mp-666,1
mp-679,0.35919119425118
mp-681,1
mp-690,0.99992171227932
mp-698,0.126336776318494
mp-702,1
mp-711,1
mp-723,0.997561395168304
mp-726,0.999981527328491
mp-733,0.999672846198082
mp-743,0.851557179987431
mp-748,0.660890045166016
mp-761,1
mp-764,0.999990992546082
mp-774,0.974002171754837
mp-775,0.999993925094604
mp-787,0.999999381303787
mp-807,1
mp-809,0.999999988079071
mp-812,0.367395613789558
mp-821,0.472754940390587
mp-843,0.999993805885315
mp-844,0.754161608815193
mp-853,0.999997758865356
mp-863,0.999999994039536
mp-878,0.993954172730446
mp-879,1
mp-880,0.998696830868721
mp-881,1
mp-909,0.998485267162323
mp-943,0.732470630407333
mp-951,0.99999999165535
mp-956,1
mp-964,0.596454177796841
mp-973,0.952840622961521
mp-975,0.918495074510574
mp-976,0.933084868788719
mp-978,1
mp-980,0.999945045113564
mp-986,0.999999986886978
mp-995,1
mp-1015,0.996812388300896
mp-1016,1
mp-1023,0.999885649681091
mp-1029,0.95776765614748
mp-1031,1
mp-1043,1
mp-1045,0.43510419242084
mp-1051,0.999996237754822
mp-1056,0.371909929662943
mp-1062,1
mp-1074,1
mp-1075,0.999999173879623
mp-1085,1
mp-1096,0.999962812066078
mp-1107,1
mp-1111,0.950486267209053
mp-1112,0.999983932971954
mp-1147,0.427018934339285
mp-1163,1
mp-1179,0.999997816085815
mp-1200,0.999972007870674
mp-1217,1
mp-1237,1
mp-1261,0.999999980926514
mp-1273,1
mp-1311,0.606366838216782
mp-1314,0.999967806339264
mp-1323,0.999718618988991
mp-1355,0.957635636329651
mp-1382,0.999962912797928
mp-1383,0.999999988079071
mp-1384,1
mp-1385,1
mp-1389,0.999923286437988
mp-1397,1
mp-1409,0.959620016813278
mp-1419,0.996013993024826
mp-1422,1
mp-1426,0.997531510591507
mp-1427,0.395959502458572
mp-1428,0.963501216173172
mp-1429,0.99998456299305
mp-1436,0.999999998807907
mp-1455,0.901623049378395
mp-1468,0.999936401844025
mp-1469,0.999921641945839
mp-1473,1
mp-1477,0.999999997615814
mp-1478,0.553568828701973
mp-1506,1
mp-1510,0.997587066888809
mp-1513,0.586685395240784
mp-1518,0.99999957203865
mp-1521,0.999159554243088
mp-1525,0.999999996423721
mp-1553,0.999997833967209
mp-1556,1
mp-1559,0.718315098434687
mp-1567,1
mp-1568,1
mp-1581,0.999246692657471
mp-1582,0.999356640577316
mp-1588,0.407221675291657
mp-1597,0.834858627617359
mp-1619,0.999999995231628
mp-1654,0.999994518756866
mp-1655,1
mp-1657,1
mp-1658,0.905897791981697
mp-1666,0.999999340772629
mp-1673,1
mp-1679,0.999999325275421
mp-1707,0.998232994675636
mp-1714,0.496144223660231
mp-1716,0.993476408720017
mp-1721,0.99999996304512
mp-1724,0.995984934568405
mp-1726,0.211824895172613
mp-1729,0.999971269369125
mp-1731,0.999992892742157
mp-1745,0.68887632638216
mp-1747,0.999999989271164
mp-1754,1
mp-1759,0.984295193552971
mp-1760,0.977193812727928
mp-1767,0.346180117800832
mp-1777,1
mp-1798,1
mp-1804,0.81513007491827
mp-1806,0.537259019240737
mp-1808,0.99918253660202
mp-1824,0.999999538660049
mp-1840,0.589744164347649
mp-1849,0.947361770868301
mp-1852,0.972740349769592
mp-1854,0.99999999165535
mp-1875,1
mp-1888,1
mp-1897,1
mp-1898,0.999917516112328
mp-1908,1
mp-1910,0.999999543428421
mp-1911,1
mp-1928,0.999999996423721
mp-1959,0.806260872781277
mp-1967,0.999991445541382
mp-1974,0.995570473074913
mp-1990,0.999296132326126
mp-1992,1
mp-1999,0.996466834545135
mp-2018,0.974794132709503
mp-2033,0.899384215474129
mp-2042,0.999996551275253
mp-2056,0.885933628082275
mp-2058,0.896340779066086
mp-2066,0.999999996423721
mp-2084,0.997086817026138
mp-2086,0.999999825954437
mp-2088,0.996544830203056
mp-2092,0.99999986410141
mp-2098,1
mp-2104,1
mp-2109,1
mp-2137,0.99890399813652
mp-2146,1
mp-2149,1
mp-2152,0.999183479547501
mp-2154,0.999863392114639
mp-2173,0.997973123788834
mp-2184,0.961832981705665
mp-2209,1
mp-2216,0.999962477684021
mp-2232,0.998023245930672
mp-2234,0.991447097659111
mp-2236,1
mp-2254,0.622704826891422
mp-2269,1
mp-2275,0.989374614953995
mp-2279,1
mp-2288,1
mp-2289,0.999998887777328
mp-2292,0.440325324758887
mp-2295,0.842042860537767
mp-2296,0.93111264705658
mp-2317,0.999999635219574
mp-2345,0.366429809033871
mp-2361,0.999997922182083
mp-2370,0.999999589920044
mp-2409,0.999141002297401
mp-2413,0.999998565912247
mp-2414,0.90744989335537
mp-2416,0.849202605485916
mp-2423,0.999998997449875
mp-2436,1
mp-2447,0.999954722523689
mp-2452,0.997169679403305
