,MP_index,Cluster_ID,cluster_size,sublattice_element,dbcv_cluster,probabilities
24128,mp-776281,-1,24875,N,0.8468198764613707,0.0
24129,mp-776283,-1,24875,Co,0.8468198764613707,0.0
24130,mp-776285,158,177,O,0.3038163900446188,0.926606078995882
24131,mp-776286,25,119,Ti,0.8100742310566592,0.2971529439468626
24132,mp-776288,-1,24875,O,0.8468198764613707,0.0
24133,mp-776289,-1,24875,O,0.8468198764613707,0.0
24134,mp-776292,161,33,O,0.2004242368703885,0.9487874088720527
24135,mp-776293,-1,24875,O,0.8468198764613707,0.0
24136,mp-776294,-1,24875,O,0.8468198764613707,0.0
24137,mp-776295,-1,24875,Co,0.8468198764613707,0.0
24138,mp-776311,155,44,O,0.40178962347198194,1.0
24139,mp-776314,-1,24875,N,0.8468198764613707,0.0
24140,mp-776315,-1,24875,N,0.8468198764613707,0.0
24141,mp-776319,-1,24875,Cu,0.8468198764613707,0.0
24142,mp-776320,-1,24875,Cu,0.8468198764613707,0.0
24143,mp-776323,-1,24875,V,0.8468198764613707,0.0
24144,mp-776325,-1,24875,O,0.8468198764613707,0.0
24145,mp-776330,-1,24875,O,0.8468198764613707,0.0
24146,mp-776334,-1,24875,N,0.8468198764613707,0.0
24147,mp-776339,-1,24875,F,0.8468198764613707,0.0
24148,mp-776341,-1,24875,Mn,0.8468198764613707,0.0
24149,mp-776347,154,110,O,0.16856183424040494,0.29086556119477086
24150,mp-776348,-1,24875,Na,0.8468198764613707,0.0
24151,mp-776355,-1,24875,Li,0.8468198764613707,0.0
24152,mp-776356,-1,24875,S,0.8468198764613707,0.0
24153,mp-776357,-1,24875,Li,0.8468198764613707,0.0
24154,mp-776358,-1,24875,O,0.8468198764613707,0.0
24155,mp-776359,-1,24875,N,0.8468198764613707,0.0
24156,mp-776361,-1,24875,N,0.8468198764613707,0.0
24157,mp-776362,-1,24875,N,0.8468198764613707,0.0
24158,mp-776367,26,66,Li,0.7290418659203914,0.7488278203139773
24159,mp-776370,40,20,Ir,0.32806762266353195,0.6252591239987404
24160,mp-776371,61,54,Nb,0.4951498870453423,0.671932668820176
24161,mp-776373,-1,24875,O,0.8468198764613707,0.0
24162,mp-776378,-1,24875,Cu,0.8468198764613707,0.0
24163,mp-776381,-1,24875,V,0.8468198764613707,0.0
24164,mp-776385,-1,24875,V,0.8468198764613707,0.0
24165,mp-776388,-1,24875,O,0.8468198764613707,0.0
24166,mp-776389,-1,24875,V,0.8468198764613707,0.0
24167,mp-776391,164,44,O,0.4141255859615934,0.97609112251508
24168,mp-776392,-1,24875,O,0.8468198764613707,0.0
24169,mp-776394,-1,24875,O,0.8468198764613707,0.0
24170,mp-776397,-1,24875,Mn,0.8468198764613707,0.0
